cycle,train_size,fe_mae,fe_mse,fe_rmse,fe_r2,bg_mae,bg_mse,bg_rmse,bg_r2
0,200,1.5646142959594727,6.237297058105469,2.4974581193896865,-5.4662184715271,1.2410967350006104,3.238898515701294,1.7996940061302904,-2.2109227180480957
1,300,0.9452691078186035,1.9654254913330078,1.4019363364051194,-1.0375607013702393,1.1762089729309082,4.815363883972168,2.194393739503503,-3.7737717628479004
2,400,0.8917793035507202,1.3550530672073364,1.164067466776448,-0.4047863483428955,1.1965641975402832,2.6007070541381836,1.6126707829368596,-1.5782437324523926
3,500,1.1812845468521118,2.7070279121398926,1.6453048082771449,-1.8063812255859375,1.1774359941482544,2.753700017929077,1.6594276175624767,-1.7299151420593262
4,600,0.8653146624565125,1.1975693702697754,1.0943351270382284,-0.24152255058288574,1.1898553371429443,3.5538618564605713,1.8851689198744424,-2.523165702819824
5,700,1.054464340209961,2.18464994430542,1.4780561370615868,-1.2648310661315918,1.1423910856246948,2.534315347671509,1.5919533120263007,-1.5124256610870361
6,800,0.9752347469329834,2.0855283737182617,1.4441358570848732,-1.1620714664459229,1.5729966163635254,10.156569480895996,3.1869373198881705,-9.068842887878418
7,900,1.5293797254562378,5.028885841369629,2.242517746054561,-4.213456153869629,0.981148362159729,1.6374140977859497,1.2796148239942946,-0.623271107673645
8,1000,1.1902087926864624,3.5002312660217285,1.87089050081017,-2.628696918487549,1.0926477909088135,2.0883994102478027,1.4451295479118136,-1.0703611373901367
9,1100,1.0181084871292114,1.6781710386276245,1.2954424103863609,-0.7397633790969849,1.2312954664230347,2.6998112201690674,1.6431102276381422,-1.6764919757843018
10,1200,0.7932107448577881,0.9376274347305298,0.9683116413275892,0.027959704399108887,0.9766282439231873,1.6467384099960327,1.2832530576608936,-0.6325148344039917
