cycle,train_size,fe_mae,fe_mse,fe_rmse,fe_r2,bg_mae,bg_mse,bg_rmse,bg_r2
0,200,0.4593936800956726,0.3931137025356293,0.6269878009464214,0.5924582481384277,0.9857060313224792,1.423368215560913,1.1930499635643568,-0.4110739231109619
1,300,0.44253915548324585,0.39540696144104004,0.6288139322892266,0.5900807976722717,0.9116286635398865,1.2627404928207397,1.1237172655168826,-0.2518336772918701
2,400,0.4990962743759155,0.4366949200630188,0.6608289643039406,0.5472774505615234,0.9530608057975769,1.3319076299667358,1.154083025595098,-0.3204033374786377
3,500,0.4322512447834015,0.33529987931251526,0.5790508434606716,0.6523939371109009,0.8978572487831116,1.1633234024047852,1.0785747087730109,-0.1532752513885498
4,600,0.3776334822177887,0.28310564160346985,0.532076725297649,0.7065037488937378,0.860763430595398,1.1015397310256958,1.0495426294466061,-0.0920252799987793
5,700,0.36304473876953125,0.24641817808151245,0.49640525589634166,0.7445377707481384,0.8847100734710693,1.1374441385269165,1.066510261801037,-0.12761950492858887
6,800,0.3353025019168854,0.21755117177963257,0.46642381133431915,0.7744642496109009,0.9250073432922363,1.272303581237793,1.1279643528222836,-0.26131415367126465
7,900,0.3207523226737976,0.20503957569599152,0.45281295884282236,0.7874350547790527,0.8895034193992615,1.15739107131958,1.075821114925516,-0.1473942995071411
8,1000,0.31626656651496887,0.2033308744430542,0.45092224877805065,0.7892064452171326,0.8855888843536377,1.1360492706298828,1.0658561209796953,-0.12623679637908936
9,1100,0.3114270567893982,0.19629870355129242,0.443056095264801,0.7964967489242554,0.864975094795227,1.105373740196228,1.0513675571351002,-0.09582626819610596
10,1200,0.3007887005805969,0.18576006591320038,0.43099891637126003,0.8074221611022949,0.8354122042655945,1.0395351648330688,1.01957597305599,-0.030556321144104004
