cycle,train_size,fe_mae,fe_mse,fe_rmse,fe_r2,bg_mae,bg_mse,bg_rmse,bg_r2
0,200,0.7944397330284119,1.1814351081848145,1.0869384104836919,-0.22479617595672607,1.0016770362854004,1.6811875104904175,1.2966061508763629,-0.6666663885116577
1,300,0.7551417350769043,0.9063427448272705,0.9520203489565076,0.060392558574676514,0.8914480209350586,1.1264121532440186,1.0613256584310107,-0.11668288707733154
2,400,0.7104316353797913,0.7659010887145996,0.8751577507595986,0.20598876476287842,0.888510525226593,1.1122268438339233,1.0546216590957742,-0.10262012481689453
3,500,0.6597386598587036,0.6462156176567078,0.8038753744559587,0.3300669193267822,0.9655208587646484,1.3696045875549316,1.1703010670570764,-0.35777485370635986
4,600,0.782058835029602,0.926641583442688,0.9626222433762311,0.039348721504211426,0.9122380614280701,1.2184194326400757,1.1038203806055022,-0.20789551734924316
5,700,0.6632612347602844,0.6889825463294983,0.8300497252150008,0.28573036193847656,0.8495004773139954,1.0074769258499146,1.0037315008755652,0.0012250542640686035
6,800,0.6780670285224915,0.6914694309234619,0.831546409362377,0.2831522226333618,0.8661325573921204,1.0568655729293823,1.0280396747837033,-0.0477370023727417
7,900,0.6756531000137329,0.6740151643753052,0.8209842656076334,0.30124711990356445,0.8452908992767334,0.9957196116447449,0.9978575106921553,0.012880802154541016
8,1000,0.6527561545372009,0.6571550369262695,0.8106509957597471,0.3187260031700134,0.8493638634681702,1.0066829919815063,1.003335931770365,0.0020121335983276367
9,1100,0.7081711888313293,0.7276571989059448,0.8530282521147496,0.2456362247467041,0.8944789171218872,1.1299036741256714,1.0629692724277928,-0.12014424800872803
10,1200,0.6333166360855103,0.6179574131965637,0.7861026734444831,0.35936230421066284,0.8960681557655334,1.1624525785446167,1.0781709412447622,-0.1524120569229126
