cycle,material_id
0,mp-1202567
0,mp-1185597
0,mp-776036
0,mp-504259
0,mp-1246405
0,mp-1245123
0,mp-705132
0,mp-28092
0,mp-1244870
0,mp-1188082
0,mp-1202231
0,mp-694974
0,mp-685663
0,mp-1185583
0,mp-771155
0,mp-1212380
0,mp-1245172
0,mp-760116
0,mp-1196569
0,mp-1185589
0,mp-1185299
0,mp-1303680
0,mp-1245086
0,mp-1297800
0,mp-1245059
0,mp-850218
0,mp-1100483
0,mp-1185586
0,mp-1199408
0,mp-1175418
0,mp-1244976
0,mp-764428
0,mp-1184537
0,mp-700127
0,mp-559631
0,mp-1185250
0,mp-530381
0,mp-851075
0,mp-1252778
0,mp-1177687
0,mp-703486
0,mp-1245047
0,mp-531041
0,mp-1245032
0,mp-674331
0,mp-691115
0,mp-680580
0,mp-780305
0,mp-1185579
0,mp-1247878
0,mp-1177621
0,mp-1256766
0,mp-1204415
0,mp-1245257
0,mp-764764
0,mp-759775
0,mp-1174212
0,mp-1245031
0,mp-1245297
0,mp-1175375
0,mp-1201958
0,mp-1100933
0,mp-685341
0,mp-1245281
0,mp-1175415
0,mp-758752
0,mp-1245135
0,mp-1030245
0,mp-531066
0,mp-851096
0,mp-667448
0,mp-685444
0,mp-685232
0,mp-706490
0,mp-29281
0,mp-1197618
0,mp-700146
0,mp-1172980
0,mp-1977994
0,mp-758747
0,mp-1196391
0,mp-1182823
0,mp-1205238
0,mp-1245287
0,mp-758315
0,mp-707786
0,mp-706847
0,mp-1200214
0,mp-531611
0,mp-777360
0,mp-1202578
0,mp-758732
0,mp-644802
0,mp-760135
0,mp-758645
0,mp-1205237
0,mp-1217808
0,mp-1097058
0,mp-1203984
0,mp-1196461
1,mp-818273
1,mp-1245171
1,mp-1244978
1,mp-780203
1,mp-1245011
1,mp-1245000
1,mp-759022
1,mp-1211291
1,mp-762932
1,mp-1244935
1,mp-1174299
1,mp-1245096
1,mp-1245248
1,mp-1245277
1,mp-1245302
1,mp-766681
