cycle,material_id
0,mp-1038987
0,mp-1349963
0,mp-1173850
0,mp-1205297
0,mp-757174
0,mp-1072544
0,mp-1217676
0,mp-1281117
0,mp-726151
0,mp-1200214
0,mp-1211162
0,mp-680173
0,mp-1185597
0,mp-1185250
0,mp-7955
0,mp-569416
0,mp-754908
0,mp-1103799
0,mp-1185594
0,mp-1184709
0,mp-673839
0,mp-18456
0,mp-1181246
0,mp-14587
0,mp-1352636
0,mp-2646978
0,mp-1202231
0,mp-1372790
0,mp-1208533
0,mp-1404745
0,mp-1197703
0,mp-1215505
0,mp-1208610
0,mp-1185573
0,mp-723463
0,mp-753304
0,mp-685232
0,mp-778224
0,mp-1227290
0,mp-38511
0,mp-1227236
0,mp-1047047
0,mp-776336
0,mp-1078834
0,mp-569304
0,mp-1247511
0,mp-1185586
0,mp-1247317
0,mp-754629
0,mp-1180706
0,mp-8382
0,mp-776321
0,mp-1245030
0,mp-1225955
0,mp-684589
0,mp-1246627
0,mp-29162
0,mp-1214120
0,mp-730
0,mp-1101178
0,mp-1537871
0,mp-1396333
0,mp-756341
0,mp-1245172
0,mp-1220969
0,mp-1544973
0,mp-754954
0,mp-1364247
0,mp-1947043
0,mp-1018659
0,mp-1317675
0,mp-1185638
0,mp-1346713
0,mp-685907
0,mp-1245302
0,mp-7607
0,mp-1106254
0,mp-2766207
0,mp-1197618
0,mp-568927
0,mp-29699
0,mp-1350429
0,mp-282
0,mp-23231
0,mp-1244927
0,mp-1223078
0,mp-2647017
0,mp-630227
0,mp-971684
0,mp-1244896
0,mp-1196555
0,mp-1245086
0,mp-28034
0,mp-1798334
0,mp-1008677
0,mp-1245135
0,mp-1179268
0,mp-1102591
0,mp-1101295
0,mp-1245031
1,mp-1246432
1,mp-12561
1,mp-19126
1,mp-1204888
1,mp-1101229
1,mp-1189644
1,mp-760941
1,mp-1201068
1,mp-1207387
1,mp-10159
1,mp-723985
1,mp-777821
1,mp-1047286
1,mp-849460
1,mp-689684
1,mp-568971
1,mp-1014910
1,mp-1245397
1,mp-862995
1,mp-1039582
1,mp-755787
1,mp-1104293
1,mp-667448
1,mp-1393057
1,mp-1208724
1,mp-1321
1,mp-757155
1,mp-1181164
1,mp-1205237
1,mp-33705
1,mp-726098
1,mp-29741
1,mp-1544557
1,mp-504711
1,mp-7700
1,mp-1195735
1,mp-1209109
1,mp-685242
1,mp-1245848
1,mp-1098011
1,mp-764924
1,mp-860537
1,mp-1185583
1,mp-1096886
1,mp-20461
1,mp-766789
1,mp-32303
1,mp-29657
1,mp-17524
1,mp-1214972
1,mp-1215678
1,mp-21246
1,mp-1096825
1,mp-1213438
1,mp-1196268
1,mp-757186
1,mp-1193321
1,mp-1079684
1,mp-1185579
1,mp-756435
1,mp-1047156
1,mp-1212791
1,mp-765719
1,mp-1214549
1,mp-21208
1,mp-1238971
1,mp-726299
1,mp-1245069
1,mp-1213400
1,mp-14643
1,mp-1377116
1,mp-1013551
1,mp-1224896
1,mp-999200
1,mp-2146
1,mp-1199947
1,mp-1392030
1,mp-27318
1,mp-1199212
1,mp-1199042
1,mp-761126
1,mp-32606
1,mp-2715
1,mp-1246324
1,mp-382
1,mp-27736
1,mp-1200404
1,mp-1184046
1,mp-732005
1,mp-1423059
1,mp-1096896
1,mp-2221678
1,mp-137
1,mp-1203769
1,mp-638765
1,mp-1100921
1,mp-531611
1,mp-1346391
1,mp-1245010
1,mp-866056
2,mp-1044608
2,mp-1105681
2,mp-1229102
2,mp-1387515
2,mp-580886
2,mp-1209957
2,mp-1246914
2,mp-2218824
2,mp-1105302
2,mp-14288
2,mp-1198232
2,mp-1196998
2,mp-1215424
2,mp-1201824
2,mp-22691
2,mp-1394379
2,mp-849331
2,mp-1180468
2,mp-1218127
2,mp-1218606
2,mp-1933
2,mp-1200447
2,mp-1246640
2,mp-1041424
2,mp-1096951
2,mp-1210562
2,mp-1194667
2,mp-1213348
2,mp-1200683
2,mp-685444
2,mp-731920
2,mp-1185589
2,mp-1246631
2,mp-680580
2,mp-15668
2,mp-1224378
2,mp-14652
2,mp-1272753
2,mp-776135
2,mp-1218382
2,mp-1179015
2,mp-1195015
2,mp-1063670
2,mp-1306369
2,mp-1246398
2,mp-685663
2,mp-1246816
2,mp-1554
2,mp-28353
2,mp-754827
2,mp-1043813
2,mp-1227032
2,mp-1385278
2,mp-1179472
2,mp-18924
2,mp-22563
2,mp-1101457
2,mp-1247477
2,mp-15514
2,mp-1185299
2,mp-1197276
2,mp-531066
2,mp-672326
2,mp-1246661
2,mp-1042086
2,mp-1279759
2,mp-13097
2,mp-1397370
2,mp-28026
2,mp-771826
2,mp-1245287
2,mp-1096913
2,mp-541354
2,mp-27148
2,mp-682953
2,mp-804341
2,mp-1247486
2,mp-1246468
2,mp-1223879
2,mp-2217884
2,mp-764417
2,mp-4824
2,mp-1226927
2,mp-1016063
