cycle,material_id
0,mp-1245031
0,mp-667448
0,mp-706490
0,mp-1244939
0,mp-684015
0,mp-779282
0,mp-1245248
0,mp-1201920
0,mp-1100790
0,mp-1245135
0,mp-1245117
0,mp-1245236
0,mp-680450
0,mp-1194667
0,mp-1245310
0,mp-1202567
0,mp-1225940
0,mp-1225850
0,mp-1185250
0,mp-30014
0,mp-1245086
0,mp-1204439
0,mp-780844
0,mp-1245213
0,mp-1200214
0,mp-1096432
0,mp-1096951
0,mp-1244896
0,mp-1185583
0,mp-1245004
0,mp-1245010
0,mp-1220969
0,mp-1245202
0,mp-680302
0,mp-1120785
0,mp-686076
0,mp-1185586
0,mp-1212791
0,mp-1185589
0,mp-1245345
0,mp-1097058
0,mp-1245227
0,mp-1096965
0,mp-531948
0,mp-1199408
0,mp-1185594
0,mp-1199212
0,mp-685341
0,mp-1217808
0,mp-1245020
0,mp-680173
0,mp-1245281
0,mp-1187343
0,mp-1244927
0,mp-28092
0,mp-569965
0,mp-1185299
0,mp-1184537
0,mp-705132
0,mp-1179426
0,mp-1198232
0,mp-1244870
0,mp-1247878
0,mp-1080637
0,mp-567799
0,mp-1245302
0,mp-707786
0,mp-1245297
0,mp-1203984
0,mp-1185597
0,mp-1185579
0,mp-28840
0,mp-1185573
0,mp-1245069
0,mp-1195045
0,mp-1244946
0,mp-1196036
0,mp-559349
0,mp-1188082
0,mp-1202578
0,mp-1245030
0,mp-685416
0,mp-1199288
0,mp-700146
0,mp-1185627
0,mp-559168
0,mp-1197618
0,mp-1245172
0,mp-703486
0,mp-1182823
0,mp-680580
0,mp-1245123
0,mp-1030245
0,mp-1245287
0,mp-700127
0,mp-1246405
0,mp-644802
0,mp-29281
0,mp-1196461
0,mp-1205237
1,mp-1228746
1,mp-776036
1,mp-1204298
1,mp-1213236
1,mp-554272
1,mp-1245289
1,mp-651870
1,mp-26552
1,mp-1244915
1,mp-1182229
1,mp-818273
1,mp-29682
1,mp-1225003
1,mp-1181701
1,mp-1202492
1,mp-28057
1,mp-1244978
1,mp-1179472
1,mp-532027
1,mp-1196569
1,mp-676536
1,mp-1172980
1,mp-1245119
1,mp-1245032
1,mp-773059
1,mp-624000
1,mp-1198370
1,mp-850218
1,mp-1245277
1,mp-1200311
1,mp-1181233
1,mp-1212265
1,mp-504259
1,mp-1244976
1,mp-1244979
1,mp-1244920
1,mp-1225955
1,mp-777618
1,mp-685513
1,mp-1196211
1,mp-28468
1,mp-1100189
1,mp-559631
1,mp-583762
1,mp-561066
1,mp-684707
1,mp-531066
1,mp-1245059
1,mp-677654
1,mp-1203769
1,mp-1245257
1,mp-1245255
1,mp-1196391
1,mp-1194550
1,mp-728935
1,mp-1245204
1,mp-727913
1,mp-1244942
1,mp-760116
1,mp-29974
1,mp-1245300
1,mp-1177621
1,mp-1223537
1,mp-706847
1,mp-676668
1,mp-1244935
1,mp-777360
1,mp-1245171
1,mp-1244925
1,mp-1245096
1,mp-1245073
1,mp-1212380
1,mp-1245058
1,mp-1080371
1,mp-1245101
1,mp-1245012
1,mp-1210562
1,mp-760171
1,mp-1245000
1,mp-1204126
1,mp-1245047
1,mp-1204574
1,mp-1196555
1,mp-1245011
1,mp-1214964
1,mp-1245097
1,mp-1244904
1,mp-741677
1,mp-685663
1,mp-1245275
1,mp-1205238
1,mp-553893
1,mp-1182734
1,mp-685232
1,mp-1245280
1,mp-1194828
1,mp-1245121
1,mp-1201958
1,mp-685444
1,mp-1185638
2,mp-2750540
2,mp-626070
2,mp-760135
2,mp-1210541
2,mp-1201068
2,mp-1201960
2,mp-767137
2,mp-766076
2,mp-14858
2,mp-1182249
2,mp-571415
2,mp-1100982
2,mp-1178438
2,mp-1177687
2,mp-651741
2,mp-1094153
2,mp-1199685
2,mp-1203944
2,mp-773174
2,mp-676580
2,mp-851075
2,mp-1213348
2,mp-1237467
2,mp-1182701
2,mp-15433
2,mp-1044608
2,mp-542625
2,mp-1202231
2,mp-1220147
2,mp-1080856
2,mp-1182741
2,mp-760811
2,mp-1214046
2,mp-1219646
2,mp-765585
2,mp-1199144
2,mp-1080641
2,mp-1154
2,mp-1080851
2,mp-684712
2,mp-1245742
2,mp-22192
2,mp-685468
2,mp-1208533
2,mp-1194887
2,mp-778414
2,mp-27318
2,mp-1210190
2,mp-1197158
2,mp-1217665
2,mp-759775
2,mp-1195898
2,mp-849362
2,mp-1173536
2,mp-685952
2,mp-1196724
2,mp-28353
2,mp-541953
2,mp-1080630
2,mp-776255
2,mp-1209506
2,mp-777227
2,mp-624474
2,mp-1247882
2,mp-14650
2,mp-1244931
2,mp-30109
2,mp-531201
2,mp-760120
2,mp-567710
2,mp-1220626
2,mp-1218127
2,mp-567841
2,mp-14513
2,mp-1080372
2,mp-29516
2,mp-29739
2,mp-561375
2,mp-1100384
2,mp-1173540
2,mp-531968
2,mp-646008
