cycle,material_id
0,mp-1245000
0,mp-1198370
0,mp-581413
0,mp-2647151
0,mp-1245287
0,mp-1097058
0,mp-1245058
0,mp-680173
0,mp-1204439
0,mp-1096951
0,mp-1185589
0,mp-30014
0,mp-728935
0,mp-1245345
0,mp-1187343
0,mp-1185583
0,mp-1212791
0,mp-567858
0,mp-531611
0,mp-1185586
0,mp-1198232
0,mp-1096965
0,mp-1214964
0,mp-1244978
0,mp-541953
0,mp-1245297
0,mp-1199133
0,mp-29516
0,mp-680450
0,mp-29281
0,mp-1196391
0,mp-1185627
0,mp-1213348
0,mp-776255
0,mp-1205037
0,mp-530844
0,mp-707786
0,mp-1245010
0,mp-1225850
0,mp-582108
0,mp-1100790
0,mp-1194667
0,mp-1196036
0,mp-1200214
0,mp-1228746
0,mp-1120785
0,mp-1245227
0,mp-1194550
0,mp-1185638
0,mp-1199408
0,mp-1185299
0,mp-680302
0,mp-1185250
0,mp-28840
0,mp-1202486
0,mp-1245020
0,mp-559168
0,mp-1245069
0,mp-685416
0,mp-703486
0,mp-1245202
0,mp-1245172
0,mp-780844
0,mp-1245031
0,mp-28092
0,mp-1202567
0,mp-705132
0,mp-700146
0,mp-850218
0,mp-1030245
0,mp-554272
0,mp-1245086
0,mp-686076
0,mp-667448
0,mp-1202492
0,mp-1245030
0,mp-571416
0,mp-1244896
0,mp-1245302
0,mp-1246405
0,mp-1203984
0,mp-1185597
0,mp-1197618
0,mp-1245135
0,mp-1199288
0,mp-567799
0,mp-680580
0,mp-1247878
0,mp-1202578
0,mp-700127
0,mp-1217808
0,mp-1244870
0,mp-685341
0,mp-531948
0,mp-644802
0,mp-1225940
0,mp-569965
0,mp-1244946
0,mp-1205237
0,mp-1196461
1,mp-14858
1,mp-676668
1,mp-1245097
1,mp-1100384
1,mp-568240
1,mp-1244927
1,mp-571415
1,mp-651870
1,mp-672673
1,mp-684707
1,mp-1245117
1,mp-1203769
1,mp-759775
1,mp-1204382
1,mp-1245280
1,mp-1225003
1,mp-19321
1,mp-541059
1,mp-818273
1,mp-1204574
1,mp-1245310
1,mp-861842
1,mp-1223479
1,mp-1218127
1,mp-1245397
1,mp-1204298
1,mp-30103
1,mp-582606
1,mp-1203944
1,mp-1201068
1,mp-1245213
1,mp-1212265
1,mp-1080641
1,mp-559349
1,mp-675438
1,mp-1244942
1,mp-567841
1,mp-1208533
1,mp-1245032
1,mp-1194828
1,mp-1197194
1,mp-684712
1,mp-1217665
1,mp-1201920
1,mp-1100942
1,mp-1098011
1,mp-1244976
1,mp-1195045
1,mp-29974
1,mp-777360
1,mp-776245
1,mp-1245275
1,mp-673834
1,mp-531968
1,mp-1336251
1,mp-1245047
1,mp-29381
1,mp-532027
1,mp-1217676
1,mp-760171
1,mp-1205238
1,mp-1203734
1,mp-28057
1,mp-1245101
1,mp-21547
1,mp-1245059
1,mp-1245300
1,mp-14650
1,mp-1219646
1,mp-1096432
1,mp-1244925
1,mp-706490
1,mp-1220969
1,mp-30039
1,mp-28353
1,mp-561066
1,mp-1245257
1,mp-685952
1,mp-684015
1,mp-1080637
