cycle,train_size,fe_mae,fe_mse,fe_rmse,fe_r2,bg_mae,bg_mse,bg_rmse,bg_r2
0,200,0.4740305244922638,0.4238472282886505,0.6510355046298554,0.5605967044830322,0.967896044254303,1.3759242296218872,1.1729979665889823,-0.3640397787094116
1,300,0.39485010504722595,0.2958149313926697,0.5438887123232745,0.6933280229568481,0.9648838043212891,1.3732126951217651,1.1718415827754898,-0.36135172843933105
2,400,0.36098283529281616,0.23820163309574127,0.48805904673076317,0.7530558705329895,0.9019837379455566,1.2591946125030518,1.1221384105818015,-0.24831843376159668
3,500,0.3437548279762268,0.21506287157535553,0.4637487159824332,0.777043879032135,0.895135760307312,1.2371349334716797,1.1122656757590246,-0.22644925117492676
4,600,0.33279237151145935,0.1985367387533188,0.44557461637005175,0.7941765785217285,0.9134166240692139,1.2798796892166138,1.1313176782922707,-0.26882481575012207
5,700,0.33481836318969727,0.20561867952346802,0.45345195944385114,0.786834716796875,0.9060518741607666,1.237237572669983,1.1123118144971682,-0.22655105590820312
6,800,0.3138048052787781,0.18333306908607483,0.4281741107144088,0.8099381923675537,0.9137333035469055,1.2527309656143188,1.1192546473498866,-0.24191057682037354
7,900,0.28504180908203125,0.1577528715133667,0.3971811570472178,0.8364572525024414,0.8700456619262695,1.1680614948272705,1.080768936834914,-0.1579725742340088
8,1000,0.27167394757270813,0.1539865881204605,0.39241124871805155,0.8403617739677429,0.8812438249588013,1.2206065654754639,1.104810646887268,-0.21006369590759277
9,1100,0.27316710352897644,0.15744854509830475,0.39679786428143077,0.8367727994918823,0.9237813949584961,1.290860891342163,1.1361605922325255,-0.27971112728118896
10,1200,0.2736181616783142,0.15998674929141998,0.3999834362713286,0.8341413736343384,0.9197714924812317,1.3009274005889893,1.1405820446548285,-0.2896907329559326
