cycle,train_size,fe_mae,fe_mse,fe_rmse,fe_r2,bg_mae,bg_mse,bg_rmse,bg_r2
0,200,0.853845477104187,1.9110184907913208,1.3823959240359909,-0.9811567068099976,1.1732417345046997,2.3149688243865967,1.5215021604935686,-1.294973373413086
1,300,0.7249417304992676,0.826866626739502,0.9093220698627643,0.1427856683731079,0.8747777938842773,1.0785053968429565,1.0385111443036885,-0.06918990612030029
2,400,0.7435536980628967,0.8025612831115723,0.8958578476028283,0.1679830551147461,0.9169859290122986,1.2655575275421143,1.1249700118412553,-0.25462639331817627
3,500,0.6950980424880981,0.7482321262359619,0.8650041192017307,0.22430622577667236,0.8966551423072815,1.1834033727645874,1.0878434504856787,-0.17318177223205566
4,600,0.6581030488014221,0.6374515295028687,0.7984056171538804,0.3391526937484741,0.8370576500892639,0.9821757078170776,0.9910477828122505,0.02630770206451416
5,700,0.684259831905365,0.6964317560195923,0.8345248684248974,0.27800774574279785,0.8828739523887634,1.121398687362671,1.0589611359075795,-0.11171269416809082
6,800,0.6480696797370911,0.6358863711357117,0.7974248372954731,0.3407753109931946,0.8881360292434692,1.139877200126648,1.0676503173448917,-0.13003158569335938
7,900,0.6533503532409668,0.6446653008460999,0.8029105185798102,0.33167415857315063,0.8600332140922546,1.0481988191604614,1.023815813103344,-0.03914511203765869
8,1000,0.6764354109764099,0.7207233905792236,0.8489542923969603,0.252824604511261,0.8442763090133667,1.0150666236877441,1.0075051482189776,-0.006299138069152832
9,1100,0.6380621194839478,0.6273151636123657,0.7920322996017055,0.34966105222702026,0.8436198234558105,0.9991019368171692,0.9995508675486051,0.00952768325805664
10,1200,0.619392454624176,0.591256856918335,0.768932283701455,0.3870428204536438,0.8799822330474854,1.0836164951324463,1.0409690173739303,-0.0742567777633667
