cycle,train_size,fe_mae,fe_mse,fe_rmse,fe_r2,bg_mae,bg_mse,bg_rmse,bg_r2
0,200,1.1348108053207397,4.083640098571777,2.020801845449419,-3.233518123626709,1.538698434829712,5.742040634155273,2.3962555444182647,-4.692444324493408
1,300,0.9871948957443237,2.5424516201019287,1.5945067011781195,-1.6357648372650146,1.289377212524414,3.3691234588623047,1.8355172183508126,-2.3400230407714844
2,400,0.8872762322425842,1.7160192728042603,1.3099691877308643,-0.7790007591247559,0.9966741800308228,1.614233136177063,1.2705247483528461,-0.6002904176712036
3,500,0.7968682646751404,1.25714910030365,1.1212266052425128,-0.3032890558242798,1.1148767471313477,2.8939497470855713,1.7011612936713472,-1.8689534664154053
4,600,0.7324700951576233,0.9559464454650879,0.9777251379938474,0.0089682936668396,0.9970718026161194,1.911510705947876,1.3825739423075627,-0.8950002193450928
5,700,0.6358837485313416,0.6780234575271606,0.8234217980641274,0.2970917224884033,0.9319722652435303,1.406738042831421,1.1860598816381156,-0.39458751678466797
6,800,0.6180612444877625,0.6423192024230957,0.8014481907291923,0.33410632610321045,1.0015822649002075,1.611358880996704,1.2693931152313314,-0.5974409580230713
7,900,0.6095246076583862,0.7608218193054199,0.8722510070532564,0.21125441789627075,0.9203802347183228,1.357703685760498,1.1652054264208085,-0.34597671031951904
8,1000,0.6159713268280029,0.678598940372467,0.8237711699085293,0.29649507999420166,0.896086573600769,1.2355536222457886,1.1115545970602563,-0.22488164901733398
9,1100,0.5977011919021606,0.7219723463058472,0.8496895587835872,0.2515297532081604,0.8640092015266418,1.098076581954956,1.047891493407097,-0.0885920524597168
10,1200,0.5534752011299133,0.5257623791694641,0.7250947380649401,0.4549410343170166,0.8877816200256348,1.2573715448379517,1.1213257978116582,-0.24651122093200684
