cycle,material_id
0,mp-1173926
0,mp-715035
0,mp-1174250
0,mp-1245397
0,mp-705132
0,mp-1245302
0,mp-1245032
0,mp-1297800
0,mp-700146
0,mp-1174431
0,mp-1245257
0,mp-1305141
0,mp-1030245
0,mp-759022
0,mp-531066
0,mp-766681
0,mp-851096
0,mp-1202567
0,mp-685434
0,mp-691115
0,mp-685232
0,mp-1179426
0,mp-1196569
0,mp-760116
0,mp-1177687
0,mp-1310662
0,mp-530844
0,mp-30518
0,mp-1245031
0,mp-723985
0,mp-1303680
0,mp-29281
0,mp-1174212
0,mp-1245086
0,mp-1175491
0,mp-758752
0,mp-757304
0,mp-531041
0,mp-685444
0,mp-28092
0,mp-780305
0,mp-1245135
0,mp-1175394
0,mp-1175396
0,mp-685663
0,mp-764764
0,mp-1200923
0,mp-1244927
0,mp-1202578
0,mp-1175375
0,mp-707786
0,mp-1182823
0,mp-758315
0,mp-764428
0,mp-1077506
0,mp-690572
0,mp-1172980
0,mp-759775
0,mp-1197618
0,mp-1205238
0,mp-14513
0,mp-1246405
0,mp-1252778
0,mp-643656
0,mp-1245030
0,mp-1977994
0,mp-1245172
0,mp-642660
0,mp-758747
0,mp-1200214
0,mp-530381
0,mp-685341
0,mp-1175415
0,mp-1097058
0,mp-1196391
0,mp-1175418
0,mp-1101938
0,mp-703486
0,mp-777360
0,mp-1244946
0,mp-1203984
0,mp-1244870
0,mp-758645
0,mp-758732
0,mp-1245281
0,mp-1256766
0,mp-706847
0,mp-1217808
0,mp-674331
0,mp-1245123
0,mp-630227
0,mp-771155
0,mp-1100933
0,mp-1245287
0,mp-760135
0,mp-1245297
0,mp-644802
0,mp-1205237
0,mp-1196461
0,mp-531611
1,mp-1647928
1,mp-1640750
1,mp-1175362
1,mp-1208131
1,mp-1080371
1,mp-818273
1,mp-553893
1,mp-667448
1,mp-569965
1,mp-1199947
1,mp-715275
1,mp-760798
1,mp-1204574
1,mp-1312332
1,mp-757174
1,mp-19970
1,mp-757029
1,mp-585392
1,mp-1174026
1,mp-774379
1,mp-758271
1,mp-1101280
1,mp-997630
1,mp-780466
1,mp-755787
1,mp-1245204
1,mp-1245073
1,mp-1199408
1,mp-1245255
1,mp-1201068
1,mp-27920
1,mp-683982
1,mp-851075
1,mp-715598
1,mp-770755
1,mp-1377308
1,mp-1287673
1,mp-1344053
1,mp-694974
1,mp-1174299
1,mp-781976
1,mp-1244976
1,mp-1212380
1,mp-863369
1,mp-1177934
1,mp-1080637
1,mp-1244931
1,mp-773059
1,mp-581413
1,mp-1174365
1,mp-850944
1,mp-1245059
1,mp-1100942
1,mp-1245202
1,mp-1245289
1,mp-850218
1,mp-1100493
1,mp-1199212
1,mp-30014
1,mp-36484
1,mp-1100189
1,mp-1245047
1,mp-1100477
1,mp-1100482
1,mp-1198232
1,mp-768472
1,mp-861842
1,mp-677654
1,mp-1100483
1,mp-1209109
1,mp-764417
1,mp-1182249
1,mp-776135
1,mp-773010
1,mp-1177621
1,mp-1200311
1,mp-650112
1,mp-759600
1,mp-1247878
1,mp-1182229
1,mp-30109
1,mp-685369
1,mp-1201958
1,mp-757738
1,mp-1244939
1,mp-776036
1,mp-1199288
1,mp-626070
1,mp-559168
1,mp-706490
1,mp-762692
1,mp-1202231
1,mp-760811
1,mp-30103
1,mp-559631
1,mp-700127
1,mp-559349
1,mp-680580
1,mp-780844
1,mp-1120785
2,mp-1218127
2,mp-989624
2,mp-1194550
2,mp-757194
2,mp-1546645
2,mp-777618
2,mp-1245277
2,mp-766076
2,mp-1244935
2,mp-685468
2,mp-1639949
2,mp-1210562
2,mp-1196555
2,mp-760120
2,mp-29739
2,mp-1194667
2,mp-1196211
2,mp-1245300
2,mp-1245227
2,mp-755972
2,mp-1245121
2,mp-1173536
2,mp-1244979
2,mp-1245020
2,mp-1245236
2,mp-1245117
2,mp-1220626
2,mp-28057
2,mp-1245248
2,mp-1245213
2,mp-1245310
2,mp-1245280
2,mp-1245004
2,mp-685416
2,mp-778414
2,mp-1179472
2,mp-504259
2,mp-1204900
2,mp-583762
2,mp-532027
2,mp-1212791
2,mp-1225850
2,mp-728935
2,mp-1246307
2,mp-741677
2,mp-1096951
2,mp-1190554
2,mp-1198370
2,mp-1214964
2,mp-567799
2,mp-1204126
2,mp-1029826
2,mp-1245012
2,mp-1211291
2,mp-680450
2,mp-1225940
2,mp-779282
2,mp-1245069
2,mp-1245345
2,mp-1245000
2,mp-1202492
2,mp-1245275
2,mp-1100790
2,mp-1245115
2,mp-1244978
2,mp-1245058
2,mp-1203959
2,mp-1244920
2,mp-1244942
2,mp-1244904
2,mp-1244925
2,mp-1245097
2,mp-1096965
2,mp-1245171
2,mp-1245101
2,mp-1245096
2,mp-1204382
2,mp-680302
2,mp-776255
2,mp-686076
2,mp-1194828
2,mp-531948
2,mp-684707
2,mp-1185586
2,mp-1185597
2,mp-1188082
2,mp-1185638
2,mp-1185250
2,mp-1185594
2,mp-1185299
2,mp-1185579
2,mp-1185573
2,mp-1185627
2,mp-1185583
2,mp-1187343
2,mp-1184537
2,mp-1185589
2,mp-1182734
2,mp-1204439
2,mp-1244896
3,mp-1223537
3,mp-1222821
3,mp-30039
3,mp-776603
3,mp-773028
3,mp-850021
3,mp-644514
3,mp-773174
3,mp-764924
3,mp-1364247
3,mp-756189
3,mp-1182741
3,mp-1178438
3,mp-27412
3,mp-1213311
3,mp-1173945
3,mp-1003320
3,mp-767807
3,mp-780203
3,mp-1178199
3,mp-561066
3,mp-1102591
3,mp-554272
3,mp-684015
3,mp-752512
3,mp-1175378
3,mp-1181505
3,mp-646008
3,mp-582606
3,mp-1197170
3,mp-582108
3,mp-1336251
3,mp-1307896
3,mp-771075
3,mp-531343
3,mp-1210541
3,mp-1640981
3,mp-1198809
3,mp-1179393
3,mp-1285961
3,mp-1177753
3,mp-1204155
3,mp-1199652
3,mp-1174016
3,mp-1197349
3,mp-685120
3,mp-676668
3,mp-705547
3,mp-685242
3,mp-1244915
3,mp-1245119
3,mp-16610
3,mp-1200885
3,mp-1045019
3,mp-28468
3,mp-1204415
3,mp-753202
3,mp-754260
3,mp-776321
3,mp-698576
3,mp-727913
3,mp-754651
3,mp-1040929
3,mp-1245011
3,mp-758028
3,mp-1196036
3,mp-2647151
3,mp-29682
3,mp-567841
3,mp-1181570
3,mp-1220969
3,mp-850287
3,mp-1248317
3,mp-1245010
3,mp-1016146
3,mp-1204298
3,mp-1042694
3,mp-685142
3,mp-1225955
3,mp-1203744
3,mp-1220658
3,mp-753483
3,mp-33705
3,mp-680173
3,mp-29162
3,mp-760171
3,mp-36738
3,mp-673839
3,mp-1286841
3,mp-22576
3,mp-776583
3,mp-1203944
3,mp-1222798
3,mp-568240
3,mp-1173540
3,mp-1225003
3,mp-676536
3,mp-651870
3,mp-1195045
3,mp-1212265
4,mp-765585
4,mp-1195735
4,mp-540696
4,mp-1227537
4,mp-1179741
4,mp-29974
4,mp-2750540
4,mp-1214046
4,mp-30099
4,mp-1179933
4,mp-582723
4,mp-760819
4,mp-849545
4,mp-1237467
4,mp-21547
4,mp-765481
4,mp-759893
4,mp-1223620
4,mp-777794
4,mp-1214972
4,mp-1173448
4,mp-653062
4,mp-779882
4,mp-780306
4,mp-1204349
4,mp-1199685
4,mp-1213338
4,mp-753257
4,mp-1101003
4,mp-1196285
4,mp-676516
4,mp-762222
4,mp-759698
4,mp-675980
4,mp-624000
4,mp-542625
4,mp-2068
4,mp-1217665
4,mp-849517
4,mp-1182701
4,mp-1194583
4,mp-1179733
4,mp-1080630
4,mp-28026
4,mp-1098011
4,mp-1176450
4,mp-1210190
4,mp-1205037
4,mp-27267
4,mp-541059
4,mp-684626
4,mp-30145
4,mp-672376
4,mp-1209809
4,mp-571415
4,mp-541354
4,mp-1181242
4,mp-1224244
4,mp-541060
4,mp-1247882
4,mp-767137
4,mp-1196724
4,mp-561375
4,mp-14858
4,mp-650137
4,mp-531968
4,mp-579058
4,mp-1209672
4,mp-1213635
4,mp-13956
4,mp-1182262
4,mp-651839
4,mp-2146
4,mp-14650
4,mp-685513
4,mp-1219646
4,mp-651741
4,mp-1209506
4,mp-1096432
4,mp-15433
4,mp-766789
4,mp-29516
4,mp-1194887
4,mp-1203769
4,mp-673834
4,mp-1228746
4,mp-1197158
4,mp-624474
4,mp-1220191
4,mp-759901
4,mp-28840
4,mp-685952
4,mp-1208533
4,mp-574580
4,mp-1100384
4,mp-1217676
4,mp-531201
4,mp-1201920
4,mp-567858
4,mp-759739
5,mp-1233014
5,mp-715811
5,mp-28931
5,mp-17817
5,mp-1173830
5,mp-5563
5,mp-1190320
5,mp-37839
5,mp-1246246
5,mp-570480
5,mp-16861
5,mp-1180803
5,mp-684712
5,mp-759628
5,mp-1179195
5,mp-756874
5,mp-1199965
5,mp-1205449
5,mp-2633
5,mp-560169
5,mp-8570
5,mp-30215
5,mp-10480
5,mp-1197703
5,mp-1201469
5,mp-1173850
5,mp-757008
5,mp-29657
5,mp-1198817
5,mp-554940
5,mp-17504
