cycle,material_id
0,mp-1195893
0,mp-571314
0,mp-1246631
0,mp-13282
0,mp-1198206
0,mp-1041019
0,mp-1009894
0,mp-1180064
0,mp-12957
0,mp-1524452
0,mp-1180036
0,mp-1202366
0,mp-1105866
0,mp-1181342
0,mp-1201824
0,mp-1212799
0,mp-23212
0,mp-16035
0,mp-673837
0,mp-510464
0,mp-1285
0,mp-19086
0,mp-1208379
0,mp-1180065
0,mp-699208
0,mp-1208797
0,mp-1199053
0,mp-1201743
0,mp-1213548
0,mp-3652
0,mp-1197906
0,mp-582606
0,mp-1245714
0,mp-1429387
0,mp-1205237
0,mp-989403
0,mp-1103799
0,mp-1245742
0,mp-1025483
0,mp-1246863
0,mp-1181242
0,mp-1210731
0,mp-644802
0,mp-754834
0,mp-767409
0,mp-862995
0,mp-1197194
0,mp-755303
0,mp-1209868
0,mp-1046352
0,mp-1182404
0,mp-1199133
0,mp-34457
0,mp-755628
0,mp-1203934
0,mp-1377116
0,mp-1213348
0,mp-1154
0,mp-776255
0,mp-1198708
0,mp-999305
0,mp-1182169
0,mp-1178757
0,mp-1182734
0,mp-2217542
0,mp-1180405
0,mp-1193645
0,mp-14513
0,mp-1200923
0,mp-1214566
0,mp-1228441
0,mp-1204382
0,mp-8407
0,mp-28818
0,mp-1202486
0,mp-766423
0,mp-1205014
0,mp-1200885
0,mp-1104866
0,mp-1104812
0,mp-997009
0,mp-531611
0,mp-567841
0,mp-1184657
0,mp-505149
0,mp-753304
0,mp-1184709
0,mp-975272
0,mp-1084771
0,mp-1410067
0,mp-1178173
0,mp-1096825
0,mp-1179114
0,mp-1192970
0,mp-2647151
0,mp-7700
0,mp-569416
0,mp-2647017
0,mp-630227
0,mp-569304
1,mp-7444
1,mp-8579
1,mp-1078621
1,mp-1288734
1,mp-1046529
1,mp-1222795
1,mp-382
1,mp-559631
1,mp-1173620
1,mp-7188
1,mp-29055
1,mp-741677
1,mp-684690
1,mp-30004
1,mp-755756
1,mp-1215678
1,mp-1247859
1,mp-1079656
1,mp-1371699
1,mp-10155
1,mp-22652
1,mp-754164
1,mp-866056
1,mp-1205409
1,mp-1204349
1,mp-1047699
1,mp-1214843
1,mp-771826
1,mp-2695
1,mp-1247860
1,mp-1216051
1,mp-776172
1,mp-226
1,mp-1039582
1,mp-28572
1,mp-1039711
1,mp-1190635
1,mp-1018888
1,mp-571448
1,mp-684707
1,mp-1225623
1,mp-1205297
1,mp-624474
1,mp-1179832
1,mp-1214964
1,mp-9206
1,mp-1220273
1,mp-674374
1,mp-1102830
1,mp-571416
1,mp-14650
1,mp-22189
1,mp-14017
1,mp-1190320
1,mp-30099
1,mp-22895
1,mp-10159
1,mp-1245202
1,mp-644741
1,mp-1105681
1,mp-31286
1,mp-1182262
1,mp-1178684
1,mp-680580
1,mp-568240
1,mp-1205037
1,mp-1203959
1,mp-1210190
1,mp-680173
1,mp-1218382
1,mp-1203220
1,mp-582108
1,mp-1209307
1,mp-13682
1,mp-684626
1,mp-1247882
1,mp-9697
1,mp-2146
1,mp-1213029
1,mp-7368
1,mp-1245010
1,mp-1190915
1,mp-540841
1,mp-10378
1,mp-1187792
1,mp-3718
1,mp-1200254
1,mp-1220626
1,mp-1423059
1,mp-13836
1,mp-233
1,mp-2753
1,mp-8300
1,mp-561066
1,mp-1215422
1,mp-1190176
1,mp-573514
