cycle,material_id
0,mp-1185573
0,mp-1185594
0,mp-1185586
0,mp-1188082
0,mp-1185299
0,mp-1185597
0,mp-1184537
0,mp-1187343
0,mp-1185638
0,mp-1185589
0,mp-1185627
0,mp-582108
0,mp-1214964
0,mp-1244935
0,mp-1245010
0,mp-1200923
0,mp-1080371
0,mp-706490
0,mp-1245257
0,mp-559349
0,mp-703486
0,mp-646008
0,mp-1245123
0,mp-1245287
0,mp-1194550
0,mp-531201
0,mp-14513
0,mp-1245345
0,mp-14650
0,mp-1225850
0,mp-559168
0,mp-2647151
0,mp-567858
0,mp-1245004
0,mp-1245213
0,mp-1244979
0,mp-705132
0,mp-1245121
0,mp-1245236
0,mp-1245300
0,mp-1245117
0,mp-1097058
0,mp-1245310
0,mp-1245248
0,mp-1245280
0,mp-1246405
0,mp-1201920
0,mp-1205238
0,mp-2146
0,mp-1245115
0,mp-1080637
0,mp-568240
0,mp-1100790
0,mp-1030245
0,mp-1100189
0,mp-685341
0,mp-559631
0,mp-1203959
0,mp-630227
0,mp-707786
0,mp-1244946
0,mp-1182823
0,mp-1244870
0,mp-1173540
0,mp-1204900
0,mp-685416
0,mp-1200214
0,mp-700127
0,mp-28840
0,mp-700146
0,mp-1225940
0,mp-1196036
0,mp-686076
0,mp-531611
0,mp-1212265
0,mp-1202578
0,mp-1245172
0,mp-531948
0,mp-1245030
0,mp-1245302
0,mp-1245069
0,mp-1244927
0,mp-1196555
0,mp-1244896
0,mp-29281
0,mp-1197618
0,mp-1245297
0,mp-1245281
0,mp-28092
0,mp-1247878
0,mp-1196461
0,mp-644802
0,mp-1199288
0,mp-1195045
0,mp-569965
0,mp-680450
0,mp-1203984
0,mp-1198232
0,mp-680580
0,mp-1205237
1,mp-1120785
1,mp-28468
1,mp-1212380
1,mp-773059
1,mp-680173
1,mp-776036
1,mp-532027
1,mp-1179472
1,mp-760116
1,mp-1204574
1,mp-768472
1,mp-760135
1,mp-531066
1,mp-1180803
1,mp-1199685
1,mp-504259
1,mp-2750540
1,mp-677654
1,mp-21547
1,mp-1245255
1,mp-1096965
1,mp-28353
1,mp-1197194
1,mp-1029566
1,mp-29682
1,mp-1196569
1,mp-780844
1,mp-1228746
1,mp-685513
1,mp-582723
1,mp-624000
1,mp-1196724
1,mp-1200254
1,mp-1245012
1,mp-1220626
1,mp-1245047
1,mp-1245059
1,mp-777360
1,mp-676536
1,mp-1194828
1,mp-851075
1,mp-685232
1,mp-567799
1,mp-1223479
1,mp-676668
1,mp-1210541
1,mp-1244978
1,mp-1245101
1,mp-1245275
1,mp-1245000
1,mp-1245097
1,mp-1244942
1,mp-1245058
1,mp-1244925
1,mp-1245096
1,mp-1244904
1,mp-1245171
1,mp-1244920
1,mp-28103
1,mp-1100982
1,mp-1172980
1,mp-574580
1,mp-1198370
1,mp-553893
1,mp-1211291
1,mp-685468
1,mp-706847
1,mp-567841
1,mp-850218
1,mp-29739
1,mp-1201958
1,mp-624474
1,mp-1210190
1,mp-1196391
1,mp-1204382
1,mp-561066
1,mp-684707
1,mp-29974
1,mp-16610
1,mp-1202492
1,mp-667448
1,mp-1225003
1,mp-1182734
1,mp-741677
1,mp-1199408
1,mp-1217676
1,mp-1546645
1,mp-1245020
1,mp-1245227
1,mp-680302
1,mp-728935
1,mp-1245135
1,mp-1245031
1,mp-1245086
1,mp-1204439
1,mp-1202567
1,mp-583762
1,mp-779282
1,mp-1217808
1,mp-1245202
2,mp-1245204
2,mp-571415
2,mp-1244939
2,mp-1173850
2,mp-759600
2,mp-1195735
2,mp-30103
2,mp-30109
2,mp-760819
2,mp-861842
2,mp-1194887
2,mp-1196211
2,mp-1210531
2,mp-1044608
2,mp-1204415
2,mp-1177621
2,mp-651741
2,mp-554272
2,mp-1209506
2,mp-1237467
2,mp-1214046
2,mp-22192
2,mp-1194583
2,mp-1364247
2,mp-1245011
2,mp-1245119
2,mp-1080372
2,mp-780306
2,mp-684626
2,mp-669501
2,mp-1247882
2,mp-29576
2,mp-851096
2,mp-849362
2,mp-1210562
2,mp-1244976
2,mp-1244931
2,mp-1080630
2,mp-1195898
2,mp-1173536
2,mp-581413
2,mp-1080855
2,mp-1080363
2,mp-1080860
2,mp-1080856
2,mp-23238
2,mp-27880
2,mp-767137
2,mp-1223537
2,mp-1185579
2,mp-643656
2,mp-1245032
2,mp-1185583
2,mp-760811
2,mp-1173830
2,mp-1185250
2,mp-1201960
2,mp-28026
2,mp-1197158
2,mp-28057
2,mp-1213348
2,mp-15433
2,mp-673834
2,mp-1204126
2,mp-1080641
2,mp-651870
2,mp-1228441
2,mp-1220191
2,mp-30101
2,mp-27267
2,mp-1197170
2,mp-29162
2,mp-777227
2,mp-561375
2,mp-1218127
2,mp-570480
2,mp-1203769
2,mp-32606
2,mp-760120
2,mp-1194667
2,mp-685952
2,mp-542625
2,mp-1225955
2,mp-1199212
2,mp-1212791
2,mp-1096432
2,mp-651839
2,mp-1214275
2,mp-1182701
2,mp-29516
2,mp-777618
2,mp-567710
2,mp-32581
2,mp-776255
2,mp-30014
2,mp-684015
2,mp-531968
2,mp-1096951
2,mp-1179426
2,mp-1220969
3,mp-1202231
3,mp-1182817
3,mp-677245
3,mp-1198206
3,mp-1180135
3,mp-1372790
3,mp-541059
3,mp-1205014
3,mp-818408
3,mp-1182741
3,mp-30039
3,mp-757304
3,mp-1181242
3,mp-1192970
3,mp-698692
3,mp-1196672
3,mp-541953
3,mp-866481
3,mp-29566
3,mp-774379
3,mp-780466
3,mp-866501
3,mp-1209809
3,mp-1223620
3,mp-1336251
3,mp-1211499
3,mp-1222798
3,mp-29657
3,mp-676516
3,mp-1204298
