cycle,train_size,fe_mae,fe_mse,fe_rmse,fe_r2,bg_mae,bg_mse,bg_rmse,bg_r2
0,200,0.45639774203300476,0.40615057945251465,0.6372994425327192,0.5789428949356079,0.9266842603683472,1.2663220167160034,1.1253097425669092,-0.25538432598114014
1,300,0.4047636091709137,0.3166370093822479,0.5627050820654173,0.6717417240142822,0.95026695728302,1.346685528755188,1.1604678059968696,-0.3350536823272705
2,400,0.3884791135787964,0.30024224519729614,0.5479436514800552,0.688738226890564,0.9221639633178711,1.303309679031372,1.1416258927649512,-0.2920525074005127
3,500,0.35187897086143494,0.24516674876213074,0.49514315986604396,0.7458351254463196,0.9218429923057556,1.3271360397338867,1.1520139060505679,-0.31567299365997314
4,600,0.32168498635292053,0.21006500720977783,0.458328492688135,0.7822251915931702,0.926833987236023,1.298465371131897,1.1395022470938339,-0.28724992275238037
5,700,0.3500133156776428,0.2277846485376358,0.4772679001751907,0.7638551592826843,0.9125075936317444,1.2903223037719727,1.1359235466227349,-0.279177188873291
6,800,0.3069624602794647,0.21245801448822021,0.46093168093354164,0.7797443270683289,0.8954000473022461,1.24649977684021,1.116467544015593,-0.2357332706451416
7,900,0.2840343117713928,0.17175383865833282,0.41443194695671426,0.8219424486160278,0.8764930367469788,1.1660665273666382,1.0798456034853492,-0.15599477291107178
8,1000,0.2820972204208374,0.19301345944404602,0.43933297104137997,0.7999025583267212,0.8773338198661804,1.2051078081130981,1.0977740241566558,-0.19469881057739258
9,1100,0.2869718670845032,0.1729692965745926,0.41589577609611833,0.8206824064254761,0.8527266979217529,1.1266037225723267,1.0614159046162472,-0.11687278747558594
10,1200,0.27788475155830383,0.17270433902740479,0.41557711562044025,0.8209570646286011,0.8439576625823975,1.106752872467041,1.0520232281024222,-0.09719347953796387
