cycle,train_size,fe_mae,fe_mse,fe_rmse,fe_r2,bg_mae,bg_mse,bg_rmse,bg_r2
0,200,0.7350064516067505,1.1240490674972534,1.060211803130513,-0.16530394554138184,0.9495614767074585,1.3291462659835815,1.1528860594107215,-0.3176659345626831
1,300,0.7389936447143555,1.085219383239746,1.0417386348022935,-0.12504911422729492,1.0037766695022583,1.7480463981628418,1.322137057253461,-0.732947826385498
2,400,0.703750729560852,0.9551843404769897,0.9773353265266685,0.009758412837982178,0.9259709715843201,1.3254201412200928,1.1512689265415326,-0.31397199630737305
3,500,0.7363343238830566,0.8947919607162476,0.9459344378529876,0.07236737012863159,0.9502300024032593,1.6197878122329712,1.2727088481789428,-0.6057970523834229
4,600,0.6652740240097046,0.7773849368095398,0.8816943556638773,0.19408339262008667,1.0262162685394287,1.729339599609375,1.3150435732740475,-0.7144025564193726
5,700,0.8996912240982056,1.8261483907699585,1.3513505802603403,-0.8931719064712524,0.9756438732147217,1.488820195198059,1.2201721989940841,-0.4759606122970581
6,800,0.6568015813827515,0.8040481209754944,0.8966873039000243,0.1664416790008545,0.9124314188957214,1.2642112970352173,1.124371512016921,-0.2532918453216553
7,900,0.6834429502487183,0.8752436637878418,0.9355445814005027,0.09263312816619873,0.8778036832809448,1.1215676069259644,1.0590408901104642,-0.11188018321990967
8,1000,0.6185633540153503,0.659321665763855,0.8119862472750724,0.3164798617362976,0.8978374600410461,1.128239393234253,1.0621861386942746,-0.11849439144134521
9,1100,0.6708035469055176,0.83104407787323,0.9116161900017079,0.13845491409301758,0.8731886148452759,1.0867482423782349,1.0424721782274262,-0.0773615837097168
10,1200,0.6829491257667542,0.9737609624862671,0.9867932724163998,-0.00950002670288086,0.9021676182746887,1.217172622680664,1.1032554657379514,-0.2066594362258911
