cycle,train_size,fe_mae,fe_mse,fe_rmse,fe_r2,bg_mae,bg_mse,bg_rmse,bg_r2
0,200,1.1991115808486938,3.2713069915771484,1.8086754798960338,-2.3913705348968506,1.5617457628250122,6.838460922241211,2.615045109026078,-5.779394626617432
1,300,1.0233161449432373,5.024216651916504,2.2414764446490407,-4.208615779876709,1.2981215715408325,5.693908214569092,2.386191152143745,-4.64472770690918
2,400,0.9201855659484863,3.5102832317352295,1.873574986952812,-2.63911771774292,1.1468850374221802,2.8096861839294434,1.6762118553242138,-1.7854180335998535
3,500,0.9238637685775757,2.3086249828338623,1.5194160005850479,-1.3933563232421875,1.1869677305221558,5.775952339172363,2.403321106130507,-4.726062774658203
4,600,0.9491164684295654,8.586185455322266,2.9302193527656364,-7.9013166427612305,1.103304386138916,3.2863259315490723,1.812822642055497,-2.2579405307769775
5,700,0.7002629637718201,1.085660696029663,1.0419504287775225,-0.12550663948059082,1.1342055797576904,6.8859639167785645,2.624112024433897,-5.826487064361572
6,800,0.7695195078849792,1.7607417106628418,1.3269294294207368,-0.8253645896911621,0.9672703742980957,1.6121565103530884,1.2697072538002956,-0.5982316732406616
7,900,0.6243194937705994,1.258172869682312,1.121683052239942,-0.3043503761291504,0.9953981637954712,1.898980975151062,1.3780351864706002,-0.8825787305831909
8,1000,0.6299408078193665,0.9310838580131531,0.9649268666656313,0.034743428230285645,0.9031336903572083,1.2142813205718994,1.1019443364217176,-0.20379316806793213
9,1100,0.7020399570465088,2.2899720668792725,1.5132653656511381,-1.374018907546997,0.9520536065101624,1.7160829305648804,1.3099934849322268,-0.7012604475021362
10,1200,0.600894033908844,0.8026134371757507,0.8958869555785209,0.16792899370193481,0.9571545124053955,1.6381769180297852,1.279912855638924,-0.6240272521972656
