cycle,train_size,fe_mae,fe_mse,fe_rmse,fe_r2,bg_mae,bg_mse,bg_rmse,bg_r2
0,1200,0.2766648530960083,0.16007013618946075,0.4000876606313431,0.8340549468994141,0.8308374285697937,1.0589462518692017,1.0290511415227144,-0.04979979991912842
1,1200,0.27735191583633423,0.15953204035758972,0.39941462211289874,0.8346127867698669,0.8216492533683777,1.054946780204773,1.0271060218910086,-0.04583477973937988
2,1200,0.2559100389480591,0.15571005642414093,0.39460113586271,0.8385750651359558,0.8475855588912964,1.122159719467163,1.0593204045364004,-0.11246716976165771
3,1200,0.2584073543548584,0.15638913214206696,0.3954606581470108,0.8378710746765137,0.8560788631439209,1.1445837020874023,1.0698521870274427,-0.1346975564956665
4,1200,0.26071789860725403,0.1491752713918686,0.38623214702024555,0.8453496694564819,0.8498824238777161,1.1394462585449219,1.0674484805108497,-0.12960445880889893
5,1200,0.26421651244163513,0.15507708489894867,0.3937982794514835,0.8392312526702881,0.8323850035667419,1.087648868560791,1.0429040552998108,-0.07825446128845215
6,1200,0.25871798396110535,0.15231095254421234,0.3902703582700233,0.8420989513397217,0.8479877710342407,1.1379238367080688,1.0667351295931287,-0.12809514999389648
7,1200,0.2516884207725525,0.14728665351867676,0.38377943342325777,0.8473076224327087,0.8411741852760315,1.1179345846176147,1.0573242570837078,-0.10827851295471191
8,1200,0.2552418112754822,0.15244033932685852,0.3904360886583853,0.8419647812843323,0.8333322405815125,1.1010264158248901,1.0492980586205667,-0.09151637554168701
9,1200,0.2485436350107193,0.146590918302536,0.3828719345976354,0.8480288982391357,0.8416590690612793,1.1162108182907104,1.0565087876069514,-0.10656964778900146
10,1200,0.2558094263076782,0.15273185074329376,0.39080922550944697,0.841662585735321,0.8415623903274536,1.1302409172058105,1.0631278931557626,-0.12047863006591797
