cycle,train_size,fe_mae,fe_mse,fe_rmse,fe_r2,bg_mae,bg_mse,bg_rmse,bg_r2
0,1200,0.6568803787231445,0.7076557874679565,0.841222793003112,0.26637178659439087,0.8724690675735474,1.201289176940918,1.0960333831325202,-0.19091320037841797
1,1200,0.6004614233970642,0.6984208822250366,0.8357157903408531,0.27594560384750366,0.886591911315918,1.1251447200775146,1.060728391284741,-0.11542642116546631
2,1200,0.6208935379981995,0.7573772072792053,0.8702742138425137,0.21482551097869873,0.8642319440841675,1.0916823148727417,1.0448360229589817,-0.082253098487854
3,1200,0.6228770613670349,0.7970500588417053,0.8927766007471888,0.1736965775489807,0.8677539229393005,1.0968228578567505,1.0472931098105966,-0.08734917640686035
4,1200,0.6183521747589111,0.8638997673988342,0.9294620849711054,0.10439330339431763,0.8750328421592712,1.189838171005249,1.0907970347435167,-0.17956101894378662
5,1200,0.6364263296127319,0.9503899216651917,0.9748794395540361,0.014728844165802002,0.9170299172401428,1.3102976083755493,1.1446823176652767,-0.2989799976348877
6,1200,0.611051082611084,0.8018905520439148,0.895483418073118,0.1686784029006958,0.8898413181304932,1.1906920671463013,1.0911883738137522,-0.18040752410888672
7,1200,0.6487581133842468,0.8581761121749878,0.9263779531999818,0.11032706499099731,0.8647943139076233,1.0682491064071655,1.0335613704116295,-0.05902230739593506
8,1200,0.6407561302185059,0.9962217807769775,0.9981091026420796,-0.03278517723083496,0.9004329442977905,1.1993041038513184,1.095127437265325,-0.18894517421722412
9,1200,0.6386961936950684,0.9486367702484131,0.9739798613156296,0.016546308994293213,0.9004626870155334,1.207671880722046,1.0989412544454076,-0.1972407102584839
10,1200,0.6582292318344116,1.0007519721984863,1.000375915443033,-0.03748166561126709,0.9077865481376648,1.2924408912658691,1.1368557038014406,-0.2812776565551758
