cycle,train_size,fe_mae,fe_mse,fe_rmse,fe_r2,bg_mae,bg_mse,bg_rmse,bg_r2
0,1200,0.5564579963684082,0.6784679293632507,0.8236916470155872,0.296630859375,0.8865020275115967,1.1748104095458984,1.0838867143506734,-0.16466307640075684
1,1200,0.5405807495117188,0.6543822288513184,0.8089389524873422,0.32160061597824097,0.9640528559684753,1.4779249429702759,1.2156993637286628,-0.46515953540802
2,1200,0.6245701909065247,0.7306869626045227,0.8548022944544094,0.2424953579902649,0.9560520052909851,1.5168617963790894,1.2316094333753251,-0.5037600994110107
3,1200,0.4700782597064972,0.46055692434310913,0.6786434441907688,0.5225397348403931,0.9300468564033508,1.491815209388733,1.2213988739919213,-0.4789297580718994
4,1200,96.86563873291016,17714.552734375,133.0960282441779,-18363.712890625,69.22896575927734,9071.07421875,95.2421871795792,-8991.7236328125
5,1200,95.0235595703125,17100.62890625,130.76937296725865,-17727.255859375,67.84622192382812,8736.2451171875,93.46788281108918,-8659.787109375
6,1200,93.82490539550781,16691.6640625,129.1962230968847,-17303.283203125,64.50776672363281,7907.85888671875,88.92614287552762,-7838.5556640625
7,1200,94.470703125,16951.828125,130.1991863453839,-17572.994140625,66.03656768798828,8304.1318359375,91.12700936570617,-8231.40625
8,1200,88.677490234375,14914.5498046875,122.12513993722791,-15460.9443359375,53.45220947265625,5435.7939453125,73.7278369770367,-5387.8427734375
9,1200,75.94557189941406,10973.99609375,104.75684270609725,-11375.7646484375,28.897653579711914,1593.876953125,39.92338854762957,-1579.110107421875
10,1200,51.1389045715332,4963.7177734375,70.45365692025858,-5144.896484375,5.873718738555908,66.88676452636719,8.178432889396793,-65.30903625488281
