cycle,train_size,fe_mae,fe_mse,fe_rmse,fe_r2,bg_mae,bg_mse,bg_rmse,bg_r2
0,5000,0.7731407284736633,1.1239317655563354,1.0601564816367135,-0.05580008029937744,1.1223076581954956,2.9113292694091797,1.7062617822037682,-1.7823307514190674
1,6000,0.8681463599205017,1.29459810256958,1.1378040703783672,-0.21612083911895752,0.6867907643318176,0.9171956777572632,0.9577033349410783,0.12344449758529663
2,7000,0.7191348075866699,0.824678897857666,0.9081183281146054,0.22531241178512573,0.6653589010238647,0.9803020358085632,0.9901020330292042,0.06313431262969971
3,8000,0.8472350239753723,1.2125381231307983,1.101153087963158,-0.13903510570526123,0.9187072515487671,1.3961899280548096,1.1816048104399413,-0.334325909614563
4,9000,0.7402865886688232,0.966454267501831,0.9830840592247598,0.09213125705718994,0.692288339138031,0.8566555976867676,0.9255569121813999,0.18130213022232056
5,10000,0.7407769560813904,0.8170812726020813,0.9039254795623815,0.23244941234588623,0.6549013257026672,0.7894434928894043,0.8885063268707794,0.24553614854812622
6,11000,0.7185364365577698,0.8887313604354858,0.9427254958021904,0.1651427149772644,0.8086698055267334,1.0431138277053833,1.0213294413191971,0.003105759620666504
7,12000,0.7458122968673706,1.2649168968200684,1.1246852434437238,-0.1882387399673462,0.7195886373519897,1.0013962984085083,1.0006979056680934,0.04297482967376709
8,13000,0.7979542016983032,5.014671802520752,2.239346289103307,-3.7106871604919434,1.0954228639602661,3.8979525566101074,1.9743233161288725,-2.7252376079559326
9,14000,0.9980161190032959,1.7389293909072876,1.3186847200552858,-0.6335171461105347,0.8038907647132874,1.2412679195404053,1.1141220397875653,-0.18626832962036133
10,15000,2.5555899143218994,682.3533935546875,26.121894907427514,-639.98974609375,1.546674370765686,349.2149353027344,18.687293418329322,-332.74151611328125
11,16000,0.7300783395767212,0.9201916456222534,0.959266201646995,0.13558954000473022,0.7511545419692993,1.1874167919158936,1.089686556728995,-0.13480329513549805
12,17000,3.601508855819702,5042.51318359375,71.01065542292756,-4735.84033203125,2.3891971111297607,1367.3656005859375,36.97790692543234,-1305.77880859375
13,18000,0.8585273623466492,1.5742698907852173,1.2546991236090097,-0.4788391590118408,0.8447820544242859,1.267763376235962,1.1259499883369428,-0.21158981323242188
14,19000,0.9002790451049805,13.578047752380371,3.6848402614469427,-11.754959106445312,0.8972891569137573,14.623730659484863,3.824098672822769,-12.975764274597168
15,20000,0.8613722920417786,2.942676067352295,1.7154229995404326,-1.7642936706542969,0.7121549248695374,1.9124937057495117,1.382929392900994,-0.8277525901794434
16,21000,27.536550521850586,347027.65625,589.0905331525877,-325990.15625,7.099055290222168,19707.529296875,140.38350792338466,-18833.3046875
17,22000,412.3552551269531,133032536.0,11533.973122909556,-124968224.0,2783.428466796875,4398815232.0,66323.56468103928,-4203907072.0
18,23000,1.2765705585479736,76.06768035888672,8.721678758065257,-70.45652770996094,0.9203473329544067,12.149911880493164,3.4856723713644064,-10.61155891418457
19,24000,2.3857905864715576,920.1455078125,30.333900306628884,-863.3671264648438,1.8569059371948242,272.360107421875,16.503336251251593,-259.2920227050781
20,25000,4.4109578132629395,6240.70947265625,78.9981611979434,-5861.4033203125,2.9870615005493164,1810.2689208984375,42.54725515116618,-1729.057373046875
21,26000,1.9634754657745361,283.5958251953125,16.840303595698995,-265.40447998046875,1.264556646347046,80.17674255371094,8.95414666809244,-75.62417602539062
22,27000,3445.92822265625,11865493504.0,108928.84606016902,-11146217472.0,1644.4443359375,2700596224.0,51967.26107849056,-2580934912.0
23,28000,6.069031238555908,9659.0791015625,98.2806140678949,-9072.5546875,4.539454936981201,5186.73291015625,72.01897604212552,-4955.9130859375
24,29000,2.8879945278167725,1267.3419189453125,35.59974605169695,-1189.5167236328125,3.3377068042755127,2255.443359375,47.49150828700853,-2154.50634765625
25,30000,6.657898426055908,23874.669921875,154.51430329220335,-22426.41015625,2.186481237411499,1383.8485107421875,37.20011439152019,-1321.53125
26,31000,115.0949478149414,11255600.0,3354.9366611010705,-10573295.0,48.47288131713867,1912818.75,1383.0469080982034,-1828062.25
27,32000,34.52399826049805,442102.90625,664.9081938508504,-415302.03125,13.379413604736328,69671.515625,263.9536240042936,-66583.421875
28,33000,104.43693542480469,9188461.0,3031.2474329886036,-8631464.0,115.29649353027344,10930572.0,3306.1415577679068,-10446246.0
29,34000,529.0933837890625,229824416.0,15159.96094981778,-215892672.0,91.75320434570312,6188653.0,2487.700343690936,-5914438.0
30,35000,29.478790283203125,428076.8125,654.2757923842208,-402126.1875,17.948204040527344,95150.421875,308.46462013495164,-90933.3828125
31,36000,3997.602294921875,11730206720.0,108306.07886910134,-11019132928.0,1197.0853271484375,1165804032.0,34143.872539593394,-1114148224.0
32,37000,12187.578125,111306522624.0,333626.3218392698,-104559222784.0,49111.91015625,2290858590208.0,1513558.2546463152,-2189352370176.0
33,38000,522278.875,272755673006080.0,16515316.315653177,-256221474979840.0,126211.7265625,15923310231552.0,3990402.264377866,-15217761189888.0
