cycle,train_size,fe_mae,fe_mse,fe_rmse,fe_r2,bg_mae,bg_mse,bg_rmse,bg_r2
0,5000,0.20840610563755035,0.11794528365135193,0.3434316287870876,0.8892044425010681,0.371256947517395,0.4562698304653168,0.6754774833148154,0.5639470815658569
1,6000,0.21728596091270447,0.11249631643295288,0.3354047054424742,0.8943231105804443,0.358745813369751,0.42040759325027466,0.6483884586035401,0.5982203483581543
2,7000,0.19759897887706757,0.10711699724197388,0.3272873313190932,0.8993763327598572,0.3682580590248108,0.4791635274887085,0.6922163877637603,0.54206782579422
3,8000,0.19889289140701294,0.10592294484376907,0.3254580538929235,0.9004980325698853,0.3637705147266388,0.45991387963294983,0.6781695065637718,0.5604645013809204
4,9000,0.19414867460727692,0.09819813817739487,0.31336582164842874,0.9077545404434204,0.34314465522766113,0.4215007424354553,0.649230885306187,0.5971755981445312
5,10000,0.2036685049533844,0.10829618573188782,0.3290838582062144,0.8982686400413513,0.34480535984039307,0.42222052812576294,0.6497849860729031,0.5964877605438232
6,11000,0.20206283032894135,0.10545090585947037,0.32473205240547226,0.9009414315223694,0.33821916580200195,0.38882192969322205,0.6235558753577919,0.6284064650535583
7,12000,0.18442191183567047,0.09764714539051056,0.3124854322852676,0.9082721471786499,0.36404186487197876,0.3697555363178253,0.6080752719177334,0.6466280221939087
8,13000,0.18365207314491272,0.09529048204421997,0.30869156458222174,0.9104859232902527,0.3164322078227997,0.3386639356613159,0.5819483960466907,0.6763420104980469
9,14000,0.1821902096271515,0.09200698882341385,0.3033265382775036,0.9135704040527344,0.3095618486404419,0.33180564641952515,0.5760257341643038,0.6828963756561279
10,15000,0.19423963129520416,0.10068437457084656,0.31730801214410986,0.9054189920425415,0.31878820061683655,0.3259611427783966,0.5709300682031002,0.6884819269180298
11,16000,0.19371303915977478,0.10405244678258896,0.3225716149672642,0.902255117893219,0.30236563086509705,0.3106136918067932,0.5573272753120856,0.7031493782997131
12,17000,0.1783566027879715,0.09095096588134766,0.30158077836849556,0.9145624041557312,0.29737457633018494,0.32750850915908813,0.5722835915515035,0.6870031356811523
13,18000,0.1810096800327301,0.08989296853542328,0.29982156115833847,0.9155562520027161,0.3038531541824341,0.32981690764427185,0.5742968811026853,0.6847970485687256
14,19000,0.1765483021736145,0.08847548812627792,0.29744829487875357,0.9168878197669983,0.3073350191116333,0.34022536873817444,0.5832884095695494,0.6748497486114502
15,20000,0.1634925752878189,0.08154384046792984,0.2855588213799914,0.9233992695808411,0.30590149760246277,0.32268792390823364,0.5680562682589055,0.6916100978851318
16,21000,0.17775176465511322,0.08833125978708267,0.2972057532873189,0.9170233011245728,0.2952965795993805,0.2898024320602417,0.5383330122333588,0.7230384945869446
17,22000,0.17738232016563416,0.09221949428319931,0.3036766278184729,0.9133707880973816,0.28703436255455017,0.3018306791782379,0.5493911895709995,0.7115432024002075
18,23000,0.17382054030895233,0.08647757023572922,0.29407068918157964,0.918764591217041,0.2745991349220276,0.27944254875183105,0.52862325786124,0.7329393625259399
19,24000,0.16673043370246887,0.08438044786453247,0.29048312836468226,0.9207346439361572,0.2886383533477783,0.33360791206359863,0.5775880123960319,0.6811739802360535
20,25000,0.16843533515930176,0.0888747125864029,0.29811862166997033,0.9165127873420715,0.28427717089653015,0.3033570349216461,0.5507785715890244,0.7100844383239746
21,26000,0.16669821739196777,0.08356832712888718,0.2890818692496767,0.9214975237846375,0.2760307490825653,0.2845352292060852,0.533418437257361,0.7280722856521606
22,27000,0.16153237223625183,0.07945798337459564,0.28188292494330985,0.9253586530685425,0.30584657192230225,0.31725019216537476,0.5632496712519012,0.6968069076538086
23,28000,0.16697271168231964,0.08474209159612656,0.2911049494531595,0.9203948974609375,0.2990238070487976,0.29409492015838623,0.5423051909749586,0.7189362049102783
24,29000,0.1662568300962448,0.08226542174816132,0.28681949331968587,0.9227214455604553,0.27926939725875854,0.3042660653591156,0.5516031774374723,0.7092157602310181
25,30000,0.16630293428897858,0.08063450455665588,0.2839621533878342,0.9242534637451172,0.2673399746417999,0.27127906680107117,0.5208445706744682,0.7407411336898804
26,31000,0.1736600697040558,0.08888857811689377,0.2981418758190365,0.9164997339248657,0.2918727993965149,0.3280172646045685,0.5727279149863123,0.6865168809890747
27,32000,0.15501947700977325,0.0800216943025589,0.28288106034614424,0.9248291254043579,0.26849162578582764,0.27501463890075684,0.5244183815435505,0.7371710538864136
28,33000,0.16187715530395508,0.08452662825584412,0.2907346354596303,0.9205973148345947,0.2781006395816803,0.2754833996295929,0.5248651251794054,0.7367230653762817
29,34000,0.1566128134727478,0.07716837525367737,0.277791963983261,0.9275094866752625,0.2589412331581116,0.2657664120197296,0.5155253747583426,0.7460094690322876
30,35000,0.16391506791114807,0.08154584467411041,0.28556233062872705,0.923397421836853,0.27283379435539246,0.27623406052589417,0.5255797375526327,0.7360056638717651
31,36000,0.15583926439285278,0.07486378401517868,0.27361247050377413,0.9296743869781494,0.2662751376628876,0.2729893922805786,0.5224838679620439,0.7391065359115601
32,37000,0.15154825150966644,0.0704348012804985,0.26539555625612593,0.9338349103927612,0.25659143924713135,0.25178641080856323,0.5017832308961343,0.7593700289726257
33,38000,0.16170883178710938,0.07660046964883804,0.2767678985157745,0.928043007850647,0.2760450839996338,0.2743837237358093,0.5238164981516039,0.7377740144729614
