cycle,train_size,fe_mae,fe_mse,fe_rmse,fe_r2,bg_mae,bg_mse,bg_rmse,bg_r2
0,5000,0.4404882490634918,0.3870988190174103,0.622172660133351,0.6363667249679565,0.5544367432594299,0.7306620478630066,0.8547877209360266,0.3017129898071289
1,6000,0.5823190808296204,0.7193551063537598,0.8481480450686424,0.32425153255462646,0.5432490110397339,0.687101423740387,0.8289158122152014,0.34334349632263184
2,7000,0.42716458439826965,0.34988072514533997,0.5915071640693289,0.6713287234306335,0.5042499303817749,0.6325106620788574,0.7953053891926405,0.3955153822898865
3,8000,0.742070734500885,0.8832045793533325,0.9397896463322697,0.17033445835113525,0.7089495062828064,0.9723213911056519,0.9860635837032274,0.07076138257980347
4,9000,161.9472198486328,61694.265625,248.3833038370333,-57953.4140625,185.25128173828125,80945.7578125,284.509679646405,-77358.1171875
5,10000,37.89735794067383,3493.037109375,59.101921367879406,-3280.292236328125,47.204132080078125,5428.67578125,73.67954791697626,-5187.1357421875
6,11000,193.7975616455078,88534.546875,297.5475539724701,-83166.6640625,168.56619262695312,66980.828125,258.8065457537734,-64011.96484375
7,12000,113.59418487548828,30934.09765625,175.88091896578777,-29057.90234375,114.81344604492188,31753.197265625,178.19426832989046,-30345.240234375
8,13000,94.2662582397461,21063.400390625,145.13235473396344,-19785.556640625,80.45695495605469,15395.38671875,124.0781476278156,-14712.2294921875
9,14000,242914263040.0,8.218320641549101e+23,906549537617.7245,-7.720133171345317e+23,258416263168.0,9.30072298175073e+23,964402560228.3898,-8.888615513384655e+23
10,15000,8513594880.0,8.06805011364654e+21,89822325251.83559,-7.578972141963033e+21,8825411584.0,8.669868383651873e+21,93112128015.91356,-8.285713587236984e+21
11,16000,204.0254669189453,98274.53125,313.4876891522217,-92316.21875,218.88522338867188,113131.9375,336.35091422500994,-108118.1484375
12,17000,0.8090859651565552,0.9792757630348206,0.9895836311473732,0.08008706569671631,0.7767833471298218,1.0174826383590698,1.0087034442089855,0.027601182460784912
13,18000,204.2911376953125,99154.7421875,314.88845991477683,-93143.078125,231.81422424316406,126307.078125,355.3970710698106,-120709.515625
14,19000,31924961280.0,1.0585751456530997e+22,102887081096.3699,-9.944052685925392e+21,36566859776.0,1.3887889782510847e+22,117846891272.15384,-1.3272528062526104e+22
15,20000,2780851077120.0,7.98800188727328e+25,8937562244411.66,-7.503776700012812e+25,2720643940352.0,7.645856289880134e+25,8744058719999.617,-7.3070744562688286e+25
16,21000,192.63015747070312,87003.375,294.96334518038,-81728.3125,193.1113739013672,87463.0625,295.7415467938179,-83586.6484375
17,22000,294.2745361328125,204213.953125,451.90037964688634,-191833.6875,260.1178894042969,159697.4375,399.62161790874126,-152620.375
18,23000,213.97418212890625,377372.28125,614.3063415349055,-354495.3125,226.89962768554688,376182.40625,613.3371065327777,-359513.0625
19,24000,0.8303356766700745,1.0217176675796509,1.0108005083000557,0.04021793603897095,0.7854734063148499,1.0405305624008179,1.0200639991690805,0.005574524402618408
20,25000,88.51417541503906,18641.896484375,136.53533053526843,-17510.841796875,81.19276428222656,15746.9169921875,125.48672038182964,-15048.18359375
21,26000,0.8565751910209656,1.0595842599868774,1.0293610930994417,0.004646778106689453,0.8161265254020691,1.059110164642334,1.029130781116926,-0.012181758880615234
22,27000,666.808349609375,8098453.5,2845.7781888263885,-7607531.5,674.033203125,8493179.0,2914.305920798295,-8116852.0
23,28000,234.6158447265625,130248.1328125,360.8990618060679,-122351.6171875,245.93890380859375,143159.515625,378.36426314465797,-136815.234375
24,29000,0.8284584879875183,1.0111396312713623,1.0055543900114814,0.050154685974121094,0.7782841324806213,1.0403715372085571,1.0199860475558267,0.005726456642150879
25,30000,13543.5400390625,157124657152.0,396389.5270463134,-147599900672.0,13372.8310546875,152886968320.0,391007.632048276,-146112659456.0
26,31000,0.8551138043403625,1.0501697063446045,1.0247778814672985,0.013490617275238037,0.9614099264144897,1.3639302253723145,1.1678742335424284,-0.30349552631378174
27,32000,321.4934387207031,243782.5,493.7433543856565,-229003.625,326.61126708984375,251637.859375,501.6351855432392,-240486.984375
28,33000,2022.2320556640625,18117238.0,4256.4348931940685,-17018988.0,1908.7137451171875,10967265.0,3311.6861264316703,-10481314.0
29,34000,304151461888.0,1.3253613799775077e+24,1151243406051.6948,-1.245019180237851e+24,310890921984.0,1.384747501988678e+24,1176752948578.7056,-1.3233904606653823e+24
30,35000,21984563200.0,1.4386198444580603e+22,119942479733.33136,-1.3514120286836674e+22,19324542976.0,1.2532047337693754e+22,111946627183.19724,-1.1976762510838226e+22
31,36000,355199647744.0,1.1549729122515127e+24,1074696660575.2122,-1.0849595200988468e+24,423935442944.0,1.6452284986763836e+24,1282664608803.2458,-1.572329704285657e+24
32,37000,286.76092529296875,7402854.5,2720.8187186947976,-6954099.0,296.75323486328125,8168422.5,2858.0452235750226,-7806485.0
33,38000,117106630656.0,2.21600070024728e+23,470744166214.22723,-2.0816687717139535e+23,124083920896.0,2.4879282258918956e+23,498791361782.8496,-2.377690195077031e+23
