cycle,train_size,fe_mae,fe_mse,fe_rmse,fe_r2,bg_mae,bg_mse,bg_rmse,bg_r2
0,5000,0.20882564783096313,0.12058935314416885,0.3472597776077282,0.8867206573486328,0.3913044035434723,0.5649017691612244,0.7515994738963195,0.4601285457611084
1,6000,0.21479365229606628,0.1273907870054245,0.3569184598832407,0.8803315162658691,0.3525833189487457,0.44610288739204407,0.6679093406983047,0.573663592338562
2,7000,0.20305246114730835,0.11183606088161469,0.3344189900134481,0.894943356513977,0.34398043155670166,0.40011510252952576,0.6325465220278472,0.617613673210144
3,8000,0.21319542825222015,0.10743454098701477,0.3277720869552726,0.8990780115127563,0.3419759273529053,0.39194175601005554,0.6260525185717692,0.625424861907959
4,9000,0.18707123398780823,0.0951346680521965,0.3084390832112502,0.910632312297821,0.32564857602119446,0.3501308560371399,0.5917185615114164,0.6653831601142883
5,10000,0.19713418185710907,0.09989575296640396,0.3160628940043484,0.9061598181724548,0.3369816839694977,0.37918323278427124,0.6157785582368642,0.6376180648803711
6,11000,0.20158465206623077,0.10445345938205719,0.32319260415742374,0.9018784165382385,0.3216133415699005,0.3337934613227844,0.5777486142975892,0.6809966564178467
7,12000,0.18508675694465637,0.0940440371632576,0.3066660026205344,0.9116568565368652,0.32336196303367615,0.32459941506385803,0.5697362679906011,0.6897833347320557
8,13000,0.20952652394771576,0.10693861544132233,0.32701470217915635,0.8995438814163208,0.31230628490448,0.3041159510612488,0.5514670897354155,0.7093591690063477
9,14000,0.18468210101127625,0.0892891213297844,0.29881285335437696,0.9161235094070435,0.3382593095302582,0.348410427570343,0.59026301558741,0.6670273542404175
10,15000,0.18927477300167084,0.09899292141199112,0.31463140563521486,0.9070079326629639,0.3236047327518463,0.3024744689464569,0.5499767894615707,0.7109279632568359
11,16000,0.18258096277713776,0.08910209685564041,0.2984997434766744,0.9162992238998413,0.2963162362575531,0.29598626494407654,0.5440461974355455,0.7171286344528198
12,17000,0.17622290551662445,0.09121883660554886,0.30202456291756946,0.9143107533454895,0.2999703884124756,0.30616796016693115,0.5533244619271148,0.7073980569839478
13,18000,0.17295005917549133,0.08308422565460205,0.28824334451050565,0.9219522476196289,0.3075462579727173,0.3444943130016327,0.586936379006816,0.6707699298858643
14,19000,0.18457992374897003,0.09257819503545761,0.3042666512049219,0.9130338430404663,0.34114840626716614,0.3109358549118042,0.5576162254739403,0.7028414607048035
15,20000,0.1824267953634262,0.08576016128063202,0.29284835884913546,0.9194385409355164,0.2801372706890106,0.2740424573421478,0.5234906468525945,0.7381001710891724
16,21000,0.1731322705745697,0.0847027525305748,0.29103737308217786,0.9204318523406982,0.2882636487483978,0.30926060676574707,0.556112045154344,0.7044425010681152
17,22000,0.1770903766155243,0.082618847489357,0.28743494479509096,0.9223894476890564,0.27815762162208557,0.2715742290019989,0.5211278432419428,0.7404590249061584
18,23000,0.1641630381345749,0.07988139986991882,0.2826329773220365,0.9249609112739563,0.29917576909065247,0.3228848874568939,0.5682296080431694,0.6914218664169312
19,24000,0.15544787049293518,0.07764309644699097,0.278645108421072,0.9270635843276978,0.28645646572113037,0.27685004472732544,0.5261654157461563,0.7354170083999634
20,25000,0.17213648557662964,0.0786244198679924,0.28040046338762065,0.9261417388916016,0.273689329624176,0.28669190406799316,0.5354361811345897,0.7260111570358276
21,26000,0.15366071462631226,0.06911627948284149,0.2628997517740203,0.9350734949111938,0.2595883309841156,0.2665436565876007,0.5162786617589388,0.7452666759490967
22,27000,0.1671207845211029,0.07398389279842377,0.2719998029382076,0.9305009245872498,0.2728312015533447,0.2674589157104492,0.5171643024324564,0.7443919777870178
23,28000,0.1547984629869461,0.07122383266687393,0.2668779358936852,0.9330936670303345,0.26806244254112244,0.28167790174484253,0.5307333621931474,0.7308030128479004
24,29000,0.18870235979557037,0.08683758229017258,0.29468217165307536,0.9184264540672302,0.2685029208660126,0.2739011347293854,0.5233556484164333,0.7382352352142334
25,30000,0.16930849850177765,0.0741477832198143,0.2723009056536799,0.9303469657897949,0.2715420424938202,0.260865181684494,0.5107496271995644,0.7506935596466064
26,31000,0.15894198417663574,0.07562397420406342,0.2749981349101543,0.9289602637290955,0.28950104117393494,0.2644999921321869,0.5142956271758363,0.7472198009490967
27,32000,0.15251705050468445,0.07100433856248856,0.2664663929325583,0.9332998991012573,0.2737022042274475,0.2609438896179199,0.5108266727745527,0.7506183385848999
28,33000,0.15035244822502136,0.07334024459123611,0.2708140406094856,0.9311055541038513,0.27794909477233887,0.31651031970977783,0.5625924988033326,0.697513997554779
29,34000,0.15521785616874695,0.07558748871088028,0.2749317891966665,0.9289945363998413,0.28095105290412903,0.2986146807670593,0.546456476553311,0.7146166563034058
30,35000,0.15829287469387054,0.07173752039670944,0.26783860886121225,0.9326111674308777,0.2767760753631592,0.3256566524505615,0.570663344232448,0.6887729167938232
31,36000,0.15861853957176208,0.08120103180408478,0.28495794743099334,0.9237213134765625,0.2678656578063965,0.30096784234046936,0.5486053612028134,0.7123677730560303
32,37000,0.1512555330991745,0.06748878210783005,0.2597860313947423,0.9366023540496826,0.27063727378845215,0.2913942039012909,0.5398094144244716,0.7215172052383423
33,38000,0.15326358377933502,0.0759178176522255,0.27553188137169443,0.9286842346191406,0.2794070839881897,0.29501160979270935,0.5431497121353461,0.7180601358413696
