cycle,train_size,fe_mae,fe_mse,fe_rmse,fe_r2,bg_mae,bg_mse,bg_rmse,bg_r2
0,5000,0.589303731918335,0.6445359587669373,0.8028299687772855,0.39453524351119995,0.6127595901489258,0.8142609596252441,0.9023640948227296,0.22181826829910278
1,6000,0.6394672989845276,0.7298123836517334,0.8542905733131634,0.3144281506538391,0.633158802986145,0.7960300445556641,0.8922051583328041,0.23924142122268677
2,7000,0.6514241099357605,0.69757080078125,0.8352070406679113,0.34471529722213745,0.6260891556739807,0.7982773184776306,0.8934636637701785,0.23709368705749512
3,8000,0.6239773631095886,0.6714732646942139,0.8194347226559379,0.36923080682754517,0.6228637099266052,0.772093653678894,0.8786885988101212,0.2621172070503235
4,9000,0.6365472674369812,0.6717051863670349,0.8195762236467301,0.3690129518508911,0.6470316052436829,0.7706257104873657,0.8778528979774264,0.2635200619697571
5,10000,0.6456257104873657,0.6705893874168396,0.8188952237110921,0.37006109952926636,0.674415647983551,0.7870959639549255,0.8871842897363127,0.24777966737747192
6,11000,0.7308143377304077,0.8412818312644958,0.9172141687002529,0.2097158432006836,0.7055253982543945,0.797154426574707,0.8928350500370754,0.23816686868667603
7,12000,0.6380004286766052,0.6777219176292419,0.8232386759799627,0.3633609414100647,0.6825501918792725,0.7903503775596619,0.889016522658416,0.2446693778038025
8,13000,0.6455385684967041,0.6627011299133301,0.8140645735525714,0.3774712085723877,0.7064107656478882,0.8600252270698547,0.9273754509743369,0.17808181047439575
9,14000,0.6229597330093384,0.6369777321815491,0.7981088473269476,0.4016352891921997,0.683717668056488,0.7848467230796814,0.8859157539403402,0.24992918968200684
10,15000,0.6327431797981262,0.6484065651893616,0.8052369621355949,0.3908992409706116,0.6952744126319885,0.7911463975906372,0.8894641069715165,0.24390864372253418
11,16000,0.6314312219619751,0.6437720656394958,0.8023540774742133,0.3952527642250061,0.6876417398452759,0.7872244715690613,0.8872567111997864,0.24765682220458984
12,17000,0.6113590002059937,0.6393884420394897,0.7996176849216692,0.3993707299232483,0.6558337211608887,0.7589210271835327,0.871160735561201,0.2747061848640442
13,18000,0.6446300745010376,0.6807076930999756,0.8250501155081281,0.3605561852455139,0.6698194146156311,0.8519816398620605,0.9230285151944443,0.1857689619064331
14,19000,0.6036365628242493,0.6321971416473389,0.7951082578160906,0.40612608194351196,0.6673858761787415,0.7958644032478333,0.8921123265866431,0.2393997311592102
15,20000,0.6093848347663879,0.6377226710319519,0.7985754009684696,0.4009355306625366,0.6616705060005188,0.758070707321167,0.8706725603354954,0.27551883459091187
16,21000,0.6290189027786255,0.6803929209709167,0.8248593340509136,0.36085182428359985,0.662043035030365,0.7824450731277466,0.8845592535990715,0.2522244453430176
17,22000,0.6055763959884644,0.6512571573257446,0.8070050540893438,0.3882214426994324,0.6596980690956116,0.8291128873825073,0.9105563614529896,0.2076244354248047
18,23000,0.5963162779808044,0.6207181215286255,0.7878566630603726,0.41690921783447266,0.6511710286140442,0.7968612313270569,0.8926708415351411,0.23844707012176514
19,24000,0.5860032439231873,0.6366192102432251,0.7978842085435863,0.40197205543518066,0.6432836651802063,0.777284562587738,0.8816374326148692,0.2571563124656677
20,25000,0.6777974367141724,0.7522428035736084,0.8673193204198835,0.2933574914932251,0.6915123462677002,0.8762895464897156,0.9361033845092729,0.16253811120986938
21,26000,0.5822553634643555,0.6991286873817444,0.8361391555128515,0.34325188398361206,0.6585306525230408,0.9287284016609192,0.9637055575542351,0.11242282390594482
22,27000,0.5924860835075378,0.7059240937232971,0.8401928907835968,0.33686840534210205,0.6312184929847717,0.7612411379814148,0.87249133977445,0.2724888324737549
23,28000,0.581867516040802,0.5962669849395752,0.7721832586501569,0.4398781657218933,0.6093013882637024,0.701141357421875,0.8373418402432038,0.32992565631866455
24,29000,0.6607393622398376,0.859160304069519,0.9269090052801942,0.1929212212562561,0.6376329660415649,0.8601565957069397,0.9274462764532184,0.177956223487854
25,30000,0.5780721306800842,0.6108496189117432,0.7815686911025436,0.42617952823638916,0.6328431367874146,0.7740193605422974,0.8797837009983177,0.2602768540382385
26,31000,0.6017922759056091,0.6497151851654053,0.8060491208142375,0.3896699547767639,0.6324419379234314,0.7992175221443176,0.8939896655690812,0.2361951470375061
27,32000,0.5906942486763,0.6205477118492126,0.7877485079955484,0.41706931591033936,0.6260870695114136,0.7681841850280762,0.8764611714320699,0.2658534049987793
28,33000,0.5536470413208008,0.6080973148345947,0.7798059469089696,0.4287649989128113,0.6151177287101746,0.8016412854194641,0.8953442273335235,0.23387879133224487
29,34000,0.5642216801643372,0.5771285891532898,0.7596897979789446,0.4578564167022705,0.6000633835792542,0.7261043787002563,0.8521175850199645,0.3060687184333801
30,35000,0.584613025188446,0.6366589069366455,0.797909084380323,0.40193474292755127,0.6137077212333679,0.7669351100921631,0.8757483143530241,0.2670471668243408
31,36000,0.5791319608688354,0.6208360195159912,0.7879314814855358,0.41679853200912476,0.6065853238105774,0.8169167041778564,0.9038344451158389,0.21928024291992188
32,37000,0.552763819694519,0.6335458159446716,0.7959559133172337,0.40485912561416626,0.5993613004684448,0.763249397277832,0.8736414580809636,0.2705695629119873
33,38000,0.6194531321525574,0.6663240790367126,0.8162867627474506,0.37406784296035767,0.6051966547966003,0.8002680540084839,0.8945770251959771,0.23519116640090942
