cycle,material_id
0,mp-1196789
0,mp-865716
0,mp-1214077
0,mp-605912
0,mp-1212113
0,mp-341
0,mp-1643785
0,mp-555014
0,mp-974713
0,mp-581855
0,mp-1185543
0,mp-581413
0,mp-1504764
0,mp-756521
0,mp-1247346
0,mp-1100817
0,mp-1214120
0,mp-12244
0,mp-1181290
0,mp-1197679
0,mp-1197387
0,mp-1184211
0,mp-3476
0,mp-1183545
0,mp-38357
0,mp-5767
0,mp-4709
0,mp-863029
0,mp-729172
0,mp-643260
0,mp-27812
0,mp-28018
0,mp-1197278
0,mp-1226860
0,mp-1106094
0,mp-1209201
0,mp-568846
0,mp-20854
0,mp-24420
0,mp-757116
0,mp-3520
0,mp-727913
0,mp-1195767
0,mp-1203015
0,mp-1402445
0,mp-754834
0,mp-1784
0,mp-29129
0,mp-31067
0,mp-706937
0,mp-218
0,mp-1189710
0,mp-1192281
0,mp-573751
0,mp-866492
0,mp-10094
0,mp-632229
0,mp-21540
0,mp-1214369
0,mp-1173620
0,mp-34492
0,mp-4104
0,mp-23398
0,mp-31065
0,mp-23022
0,mp-753173
0,mp-29655
0,mp-1209179
0,mp-554379
0,mp-1101169
0,mp-1198032
0,mp-731939
0,mp-1190761
0,mp-1021492
0,mp-27968
0,mp-27798
0,mp-1183667
0,mp-849991
0,mp-14673
0,mp-1214983
0,mp-695743
0,mp-1225305
0,mp-1246589
0,mp-1185087
0,mp-1202624
0,mp-1177252
0,mp-1227682
0,mp-739212
0,mp-1029784
0,mp-755216
0,mp-1202855
0,mp-698114
0,mp-569688
0,mp-12245
0,mp-7479
0,mp-1214248
0,mp-1211594
0,mp-29446
0,mp-1206103
0,mp-8409
0,mp-1325790
0,mp-759647
0,mp-1224501
0,mp-23922
0,mp-16811
0,mp-1409253
0,mp-684592
0,mp-1208610
0,mp-777457
0,mp-720515
0,mp-754943
0,mp-770516
0,mp-5088
0,mp-1196764
0,mp-1178366
0,mp-755253
0,mp-1949777
0,mp-777514
0,mp-776402
0,mp-23045
0,mp-23299
0,mp-771977
0,mp-757131
0,mp-1188228
0,mp-10086
0,mp-755565
0,mp-18341
0,mp-775907
0,mp-2651
0,mp-770983
0,mp-1199941
0,mp-567431
0,mp-619510
0,mp-30198
0,mp-38725
0,mp-1225519
0,mp-1949616
0,mp-655586
0,mp-640416
0,mp-768745
0,mp-778256
0,mp-767740
0,mp-1195933
0,mp-630949
0,mp-2204861
0,mp-1210103
0,mp-22892
0,mp-23294
0,mp-29292
0,mp-1224352
0,mp-20098
0,mp-1183257
0,mp-70
0,mp-1200742
0,mp-656615
0,mp-1543931
0,mp-766395
0,mp-639736
0,mp-1525391
0,mp-1179832
0,mp-1063817
0,mp-12628
0,mp-604321
0,mp-639755
0,mp-975129
0,mp-867126
0,mp-8425
0,mp-2647156
0,mp-1079338
0,mp-2118
0,mp-1247308
0,mp-1214493
0,mp-1444146
0,mp-5331
0,mp-1180278
0,mp-1375509
0,mp-1179810
0,mp-1173571
0,mp-1102486
0,mp-756812
0,mp-1745
0,mp-862565
0,mp-1184708
0,mp-1245017
0,mp-323
0,mp-1216050
0,mp-1246940
0,mp-1244888
0,mp-1214301
0,mp-8611
0,mp-7571
0,mp-1191329
0,mp-556235
0,mp-1218894
0,mp-1244949
0,mp-1213631
0,mp-1197928
0,mp-984050
0,mp-755251
0,mp-771017
0,mp-28429
0,mp-8041
0,mp-12668
0,mp-721469
0,mp-1245291
0,mp-1102384
0,mp-1101074
0,mp-1018158
0,mp-1209712
0,mp-31013
0,mp-541451
0,mp-28672
0,mp-685242
0,mp-1178160
0,mp-556290
0,mp-27189
0,mp-1013726
0,mp-1980701
0,mp-1206338
0,mp-22936
0,mp-1208379
0,mp-675757
0,mp-28684
0,mp-787
0,mp-616521
0,mp-1186354
0,mp-25301
0,mp-1195558
0,mp-726693
0,mp-1206070
0,mp-753156
0,mp-863011
0,mp-779332
0,mp-1185558
0,mp-4900
0,mp-1208561
0,mp-12621
0,mp-1207159
0,mp-752458
0,mp-17906
0,mp-706630
0,mp-643257
0,mp-2717324
0,mp-16981
0,mp-772137
0,mp-8610
0,mp-1209826
0,mp-1195106
0,mp-734819
0,mp-768848
0,mp-30219
0,mp-1009496
0,mp-1180763
0,mp-1087474
0,mp-1216587
0,mp-776532
0,mp-1177954
0,mp-775906
0,mp-1176675
0,mp-1210652
0,mp-1167
0,mp-20652
0,mp-676103
0,mp-978920
0,mp-557189
0,mp-776177
0,mp-766279
0,mp-973981
0,mp-16461
0,mp-1484
0,mp-32644
0,mp-768633
0,mp-555428
0,mp-20006
0,mp-625374
0,mp-4210
0,mp-560265
0,mp-1079364
0,mp-1185080
0,mp-1185168
0,mp-1180894
0,mp-755087
0,mp-27200
0,mp-1220948
0,mp-998612
0,mp-973963
0,mp-567617
0,mp-557299
0,mp-2831849
0,mp-30010
0,mp-1019513
0,mp-655001
0,mp-7550
0,mp-1184598
0,mp-646102
0,mp-776635
0,mp-1044618
0,mp-1211832
0,mp-558400
0,mp-1078535
0,mp-29020
0,mp-1184645
0,mp-1019741
0,mp-1410541
0,mp-1173656
0,mp-27876
0,mp-30965
0,mp-1019898
0,mp-28255
0,mp-776099
0,mp-1216588
0,mp-777900
0,mp-756018
0,mp-28391
0,mp-3953
0,mp-768145
0,mp-1102536
0,mp-13903
0,mp-1219643
0,mp-730522
0,mp-772959
0,mp-775758
0,mp-1182983
0,mp-28112
0,mp-1186352
0,mp-555848
0,mp-2713792
0,mp-777488
0,mp-1178430
0,mp-675295
0,mp-998561
0,mp-756186
0,mp-979074
0,mp-5401
0,mp-542084
0,mp-1228580
0,mp-1040871
0,mp-556436
0,mp-778250
0,mp-1411248
0,mp-765258
0,mp-30213
0,mp-1101163
0,mp-772958
0,mp-1210283
0,mp-29538
0,mp-1196617
0,mp-705801
0,mp-27452
0,mp-1187637
0,mp-20304
0,mp-729788
0,mp-23948
0,mp-1102008
0,mp-777459
0,mp-31096
0,mp-1180675
0,mp-729142
0,mp-23160
0,mp-558928
0,mp-22439
0,mp-17649
0,mp-31360
0,mp-1203934
0,mp-554577
0,mp-1212993
0,mp-1219665
0,mp-863749
0,mp-1199532
0,mp-754323
0,mp-987456
0,mp-753443
0,mp-643712
0,mp-1207345
0,mp-555064
0,mp-558521
0,mp-29611
0,mp-643697
0,mp-1395540
0,mp-767192
0,mp-27235
0,mp-28125
0,mp-768203
0,mp-1393463
0,mp-1237528
0,mp-1178353
0,mp-30014
0,mp-1211521
0,mp-1210689
0,mp-1229207
0,mp-1176564
0,mp-1187594
0,mp-676409
0,mp-22072
0,mp-1213645
0,mp-1208895
0,mp-675418
0,mp-866659
0,mp-3487
0,mp-634105
0,mp-2352325
0,mp-1006815
0,mp-17722
0,mp-555850
0,mp-1196163
0,mp-27926
0,mp-1245685
0,mp-23295
0,mp-642735
0,mp-1182023
0,mp-674366
0,mp-1199851
0,mp-30011
0,mp-772521
0,mp-23156
0,mp-614456
0,mp-754382
0,mp-771778
0,mp-1096983
0,mp-4782
0,mp-1955652
0,mp-1199408
0,mp-27750
0,mp-11653
0,mp-601881
0,mp-3010
0,mp-1184862
0,mp-1080771
0,mp-541283
0,mp-8560
0,mp-2749823
0,mp-772900
0,mp-864986
0,mp-1190655
0,mp-675479
0,mp-772821
0,mp-1078300
0,mp-772188
0,mp-1207429
0,mp-864662
0,mp-23709
0,mp-1183678
0,mp-1192781
0,mp-1544557
0,mp-769409
0,mp-1409292
0,mp-1209977
0,mp-867212
0,mp-1222355
0,mp-850283
0,mp-541226
0,mp-1219293
0,mp-756648
0,mp-569405
0,mp-8136
0,mp-1207217
0,mp-559204
0,mp-1217131
0,mp-1046942
0,mp-15438
0,mp-966582
0,mp-1018650
0,mp-4589
0,mp-1202186
0,mp-1179473
0,mp-1186356
0,mp-1184849
0,mp-975857
0,mp-867934
0,mp-29364
0,mp-905
0,mp-12672
0,mp-753163
0,mp-17171
0,mp-569055
0,mp-1020027
0,mp-583071
0,mp-413
0,mp-28583
0,mp-1207522
0,mp-30945
0,mp-1209078
0,mp-1196310
0,mp-37216
0,mp-557757
0,mp-541111
0,mp-1246013
0,mp-1213803
0,mp-1095181
0,mp-1205091
0,mp-696597
0,mp-604209
0,mp-632787
0,mp-1210775
0,mp-998753
0,mp-1025208
0,mp-1208410
0,mp-644223
0,mp-1199436
0,mp-1209087
0,mp-7941
0,mp-2911895
0,mp-1523886
0,mp-1095292
0,mp-642845
0,mp-1079283
0,mp-755001
0,mp-1101165
0,mp-1219240
0,mp-768333
0,mp-1078573
0,mp-1407206
0,mp-726892
0,mp-864641
0,mp-3054
0,mp-559145
0,mp-29178
0,mp-551798
0,mp-569912
0,mp-778052
0,mp-779147
0,mp-28680
0,mp-722045
0,mp-28180
0,mp-638137
0,mp-29195
0,mp-1047945
0,mp-1181460
0,mp-334
0,mp-1397377
0,mp-769481
0,mp-634977
0,mp-779737
0,mp-767076
0,mp-752669
0,mp-23215
0,mp-23697
0,mp-863746
0,mp-13181
0,mp-1246795
0,mp-1212938
0,mp-765595
0,mp-1184114
0,mp-1202231
0,mp-1105198
0,mp-30004
0,mp-1220950
0,mp-677308
0,mp-558065
0,mp-557529
0,mp-35986
0,mp-569238
0,mp-570229
0,mp-865324
0,mp-1079939
0,mp-1183572
0,mp-28577
0,mp-1524481
0,mp-570542
0,mp-27274
0,mp-24084
0,mp-1079627
0,mp-19734
0,mp-15380
0,mp-3347
0,mp-1341935
0,mp-1185031
0,mp-1185097
0,mp-760014
0,mp-530449
0,mp-685291
0,mp-26762
0,mp-567604
0,mp-756760
0,mp-697135
0,mp-1078829
0,mp-29866
0,mp-1078667
0,mp-676095
0,mp-1194254
0,mp-1101401
0,mp-9726
0,mp-1207313
0,mp-1239116
0,mp-1184529
0,mp-685712
0,mp-675648
0,mp-541338
0,mp-1207072
0,mp-780003
0,mp-557604
0,mp-1209546
0,mp-2632
0,mp-755376
0,mp-30150
0,mp-618813
0,mp-562607
0,mp-3928
0,mp-867369
0,mp-1202722
0,mp-1196927
0,mp-18494
0,mp-1225447
0,mp-673129
0,mp-2718
0,mp-1178953
0,mp-33024
0,mp-721582
0,mp-1080534
0,mp-975411
0,mp-12620
0,mp-766151
0,mp-998299
0,mp-1208995
0,mp-1184741
0,mp-504921
0,mp-29286
0,mp-571246
0,mp-11691
0,mp-27653
0,mp-9371
0,mp-28294
0,mp-1213127
0,mp-862983
0,mp-1101339
0,mp-37399
0,mp-774557
0,mp-779463
0,mp-557773
0,mp-23050
0,mp-1191721
0,mp-1182236
0,mp-1191644
0,mp-30025
0,mp-1183303
0,mp-9821
0,mp-567974
0,mp-779420
0,mp-569147
0,mp-643022
0,mp-1214090
0,mp-696805
0,mp-567273
0,mp-863657
0,mp-570182
0,mp-1194638
0,mp-28123
0,mp-1020608
0,mp-1190554
0,mp-675426
0,mp-722237
0,mp-556425
0,mp-1218389
0,mp-1197106
0,mp-1190256
0,mp-1079694
0,mp-1094064
0,mp-1831269
0,mp-625927
0,mp-17591
0,mp-12933
0,mp-756722
0,mp-5899
0,mp-561084
0,mp-656152
0,mp-554765
0,mp-27209
0,mp-1077814
0,mp-22248
0,mp-1202883
0,mp-1443513
0,mp-998615
0,mp-1044608
0,mp-1182643
0,mp-642824
0,mp-1191044
0,mp-545974
0,mp-568450
0,mp-560119
0,mp-29881
0,mp-8652
0,mp-975
0,mp-17808
0,mp-1209744
0,mp-767114
0,mp-13068
0,mp-1182355
0,mp-8290
0,mp-570032
0,mp-1212122
0,mp-731996
0,mp-9006
0,mp-18575
0,mp-1202088
0,mp-1213989
0,mp-27212
0,mp-560815
0,mp-1220999
0,mp-608080
0,mp-3273
0,mp-8111
0,mp-1192265
0,mp-771338
0,mp-30936
0,mp-1204358
0,mp-756898
0,mp-5680
0,mp-29877
0,mp-863658
0,mp-755969
0,mp-706524
0,mp-1072114
0,mp-643432
0,mp-1201512
0,mp-30537
0,mp-28044
0,mp-625815
0,mp-27990
0,mp-30953
0,mp-1211516
0,mp-29145
0,mp-1196763
0,mp-1192119
0,mp-505372
0,mp-1173227
0,mp-5076
0,mp-1207403
0,mp-34284
0,mp-1103675
0,mp-1103324
0,mp-1232370
0,mp-1211653
0,mp-11706
0,mp-23739
0,mp-1190456
0,mp-1185521
0,mp-1181167
0,mp-556565
0,mp-4179
0,mp-1173305
0,mp-2209593
0,mp-1195198
0,mp-1206711
0,mp-1101467
0,mp-23303
0,mp-1184038
0,mp-570130
0,mp-643062
0,mp-675048
0,mp-28274
0,mp-1100961
0,mp-1020622
0,mp-1103799
0,mp-1078999
0,mp-540703
0,mp-1194910
0,mp-756013
0,mp-22424
0,mp-1173730
0,mp-8348
0,mp-1213202
0,mp-698616
0,mp-1214086
0,mp-1197879
0,mp-23720
0,mp-1180411
0,mp-768503
0,mp-634117
0,mp-1094067
0,mp-1204859
0,mp-1213464
0,mp-1211663
0,mp-1445082
0,mp-1185201
0,mp-771342
0,mp-556061
0,mp-1189526
