cycle,train_size,fe_mae,fe_mse,fe_rmse,fe_r2,bg_mae,bg_mse,bg_rmse,bg_r2
0,5000,0.8304075002670288,1.7371686697006226,1.318016945907989,-0.6318631172180176,1.113214135169983,3.104494571685791,1.7619575964494125,-1.9669370651245117
1,6000,0.8463501334190369,1.4258742332458496,1.1940997584983633,-0.3394390344619751,0.6990402340888977,1.1675649881362915,1.08053921175323,-0.11583113670349121
2,7000,0.7350344061851501,1.0590298175811768,1.029091744005935,0.005167603492736816,1.1179182529449463,2.241612434387207,1.4972015343256921,-1.1422884464263916
3,8000,1.0359582901000977,3.0544049739837646,1.7476856050170364,-1.8692498207092285,1.3546541929244995,5.449693202972412,2.3344577963570923,-4.208221912384033
4,9000,0.6599258780479431,0.8715567588806152,0.9335720426836995,0.18127620220184326,1.1960705518722534,2.837783098220825,1.6845720816340348,-1.712043285369873
5,10000,0.7447094917297363,1.0316681861877441,1.0157106803552596,0.030870556831359863,1.2877947092056274,3.0729451179504395,1.7529817791267652,-1.9367854595184326
6,11000,5.371899604797363,61.86411666870117,7.865374540904023,-57.11397171020508,1.1576849222183228,3.3909292221069336,1.8414475887483015,-2.2406797409057617
7,12000,0.7947604656219482,1.9397413730621338,1.3927459829639193,-0.8221559524536133,0.656283438205719,1.582292914390564,1.2578922507077321,-0.5121828317642212
8,13000,0.7492838501930237,1.3890990018844604,1.1786004420007912,-0.3048931360244751,0.6392064094543457,0.9923808574676514,0.9961831445410283,0.05159074068069458
9,14000,1.86911940574646,188.544921875,13.73116607848729,-176.11550903320312,3.5730273723602295,1143.010986328125,33.80844548819311,-1091.3651123046875
10,15000,0.7360671162605286,4.508383274078369,2.1232953807886386,-3.2350893020629883,0.8030240535736084,4.2000861167907715,2.049411163429821,-3.013983726501465
11,16000,2862.155517578125,7576968704.0,87045.78510186463,-7117659648.0,2503.486083984375,6000719872.0,77464.31353855786,-5734832640.0
12,17000,8.232969284057617,49727.06640625,222.99566454586062,-46711.66015625,32.052494049072266,882709.4375,939.5261771233412,-843596.3125
13,18000,20304.884765625,179557400576.0,423742.1392498037,-168672788480.0,2488.6318359375,2698811904.0,51950.090510027025,-2579229696.0
14,19000,3.755342721939087,57.58284378051758,7.588336035028864,-53.09222412109375,3.01395320892334,49.34873580932617,7.024865536743474,-46.162132263183594
15,20000,2.30507230758667,180.76121520996094,13.444746751425292,-168.8036346435547,3.285715103149414,1232.010498046875,35.10000709468411,-1176.421142578125
16,21000,5.6519775390625,2358.949951171875,48.56902254700906,-2214.95263671875,5.385703086853027,2201.5009765625,46.920155333955364,-2102.954345703125
17,22000,2.238481283187866,601.0670166015625,24.516668138259785,-563.630859375,1.4370261430740356,75.61139678955078,8.69548140067879,-71.26111602783203
18,23000,40673.37109375,686476689408.0,828538.8882894997,-644863098880.0,91780.828125,3498331340800.0,1870382.6722892832,-3343323234304.0
19,24000,100.8040542602539,5171533.5,2274.1005914426914,-4858038.5,9.214193344116211,28152.48046875,167.78700923715758,-26904.06640625
20,25000,2649.890869140625,3584082432.0,59867.2066493836,-3366818560.0,687.3115844726562,248405888.0,15760.897436377156,-237399216.0
21,26000,6.433621883392334,7945.68212890625,89.13855579324948,-7463.02197265625,3.064413547515869,1270.6595458984375,35.64631181340417,-1213.3575439453125
22,27000,2.703993558883667,766.7993774414062,27.691142581002435,-719.3167114257812,1.9198588132858276,300.40423583984375,17.33217343093023,-286.09356689453125
23,28000,19.28128433227539,304129.71875,551.479572377799,-285692.65625,2.4521660804748535,1337.7650146484375,36.57547012204269,-1277.48974609375
24,29000,5.460528373718262,9061.3515625,95.19113174293076,-8511.0615234375,10.698357582092285,49667.1796875,222.8613463288329,-47465.46875
25,30000,2.590153455734253,456.06195068359375,21.35560700808089,-427.4158935546875,1.9558051824569702,195.96145629882812,13.998623371561509,-186.278564453125
26,31000,3634.4521484375,13029879808.0,114148.49893012173,-12240020480.0,2948.869140625,8674836480.0,93138.80222549569,-8290461184.0
27,32000,251.05361938476562,32148878.0,5669.998059964395,-30200040.0,118.9964599609375,9209294.0,3034.6818614148006,-8801236.0
28,33000,9149211.0,8.370724615172915e+16,289322045.74095136,-7.863299139960832e+16,6025740.5,3.630940011731354e+16,190550256.14601922,-3.4700559055323136e+16
29,34000,257499.28125,43138185953280.0,6567966.65287515,-40523188404224.0,89099.34375,5774854062080.0,2403092.6037254576,-5518974779392.0
30,35000,1100378.625,1210826308452352.0,34796929.58369103,-1137427196411904.0,55548.50390625,3085372489728.0,1756522.8406508125,-2948662034432.0
31,36000,2.501018524169922,186.6463165283203,13.661856262174636,-174.3319854736328,1.302628517150879,16.664947509765625,4.082272346348982,-14.926536560058594
32,37000,189447.265625,30436797448192.0,5516955.4509885255,-28591746187264.0,25538.8359375,618289168384.0,786313.6577626005,-590893285376.0
33,38000,2188.894287109375,4295617536.0,65540.96074974794,-4035220992.0,1983.6177978515625,2751570432.0,52455.41375301505,-2629650432.0
