cycle,train_size,fe_mae,fe_mse,fe_rmse,fe_r2,bg_mae,bg_mse,bg_rmse,bg_r2
0,5000,0.20674575865268707,0.12172678112983704,0.3488936530374794,0.8856521844863892,0.3723241090774536,0.47162705659866333,0.6867510878030433,0.5492703914642334
1,6000,0.2094499170780182,0.11093509197235107,0.33306919997554724,0.8957896828651428,0.3552952706813812,0.46037012338638306,0.6785058020285332,0.5600285530090332
2,7000,0.20567196607589722,0.11460394412279129,0.33853204297790085,0.8923432230949402,0.35220563411712646,0.4205200672149658,0.6484751862754394,0.5981128215789795
3,8000,0.20148678123950958,0.11386450380086899,0.3374381481114265,0.8930378556251526,0.3516351282596588,0.4552774727344513,0.6747425232890331,0.564895510673523
4,9000,0.2017756998538971,0.11304492503404617,0.3362215415972721,0.8938077688217163,0.34550121426582336,0.42539283633232117,0.6522214626431126,0.5934560298919678
5,10000,0.19512750208377838,0.1001340001821518,0.31643956797807665,0.9059360027313232,0.3368740677833557,0.43270164728164673,0.6578006136221269,0.5864709615707397
6,11000,0.17818279564380646,0.09638308733701706,0.31045625672068045,0.9094595909118652,0.3478214740753174,0.4510483145713806,0.6716013062609248,0.5689373016357422
7,12000,0.19368664920330048,0.1058875024318695,0.32540359929150986,0.9005312919616699,0.3519286513328552,0.43528780341148376,0.6597634450403294,0.5839994549751282
8,13000,0.1868526041507721,0.09825208783149719,0.31345189077671426,0.9077038764953613,0.3308669626712799,0.4100836217403412,0.6403777180229971,0.6080868244171143
9,14000,0.20208220183849335,0.1061972826719284,0.3258792455372517,0.9002403020858765,0.34117400646209717,0.42277562618255615,0.6502119855728254,0.5959572196006775
10,15000,0.17644287645816803,0.08988140523433685,0.2998022768998542,0.9155671000480652,0.32697901129722595,0.39124512672424316,0.6254959046422631,0.6260906457901001
11,16000,0.18772274255752563,0.0972624346613884,0.31186925892333217,0.9086335301399231,0.31568753719329834,0.3693631589412689,0.6077525474576547,0.6470030546188354
12,17000,0.17594313621520996,0.09125903248786926,0.30209109965020364,0.9142730236053467,0.3037773370742798,0.3503793776035309,0.591928524066488,0.6651456356048584
13,18000,0.18314982950687408,0.0945686474442482,0.30752015778522257,0.9111640453338623,0.3090498745441437,0.35308653116226196,0.594210847395318,0.6625584363937378
14,19000,0.1784978210926056,0.0919225886464119,0.3031873820699204,0.9136496782302856,0.31819233298301697,0.3667456805706024,0.6055953108888826,0.649504542350769
15,20000,0.1714155524969101,0.08899921178817749,0.2983273567545851,0.9163958430290222,0.31237947940826416,0.357729971408844,0.5981053179907733,0.6581207513809204
16,21000,0.1654817909002304,0.08113255351781845,0.28483776701452085,0.9237856268882751,0.3288956880569458,0.38433611392974854,0.6199484768347677,0.6326935291290283
17,22000,0.16712899506092072,0.0810762494802475,0.2847389145871135,0.9238384962081909,0.28823503851890564,0.30006563663482666,0.5477824720040124,0.7132300138473511
18,23000,0.16290178894996643,0.07903113961219788,0.28112477587754137,0.9257596731185913,0.3002181649208069,0.3641909658908844,0.6034823658491476,0.6519460678100586
19,24000,0.16243845224380493,0.08440148830413818,0.29051934239244415,0.9207148551940918,0.29588639736175537,0.3535773456096649,0.5946237008475738,0.6620894074440002
20,25000,0.16922706365585327,0.08518645912408829,0.291867194326612,0.9199774861335754,0.30557945370674133,0.3811248540878296,0.6173531032462942,0.6357624530792236
21,26000,0.16363877058029175,0.085211381316185,0.29190988560887243,0.9199540615081787,0.3097180724143982,0.3527160584926605,0.5938990305537302,0.6629124879837036
22,27000,0.1605701893568039,0.07672351598739624,0.27699010088340026,0.9279273748397827,0.31047868728637695,0.37614038586616516,0.6133028500391672,0.6405260562896729
23,28000,0.16065627336502075,0.08104278892278671,0.28468015196494945,0.9238699674606323,0.295034259557724,0.34346556663513184,0.5860593541913071,0.6717531085014343
24,29000,0.17292138934135437,0.08353889733552933,0.28903096258970135,0.9215251803398132,0.29444098472595215,0.32787200808525085,0.5726010898393845,0.6866557598114014
25,30000,0.1834932267665863,0.08245057612657547,0.28714208351715964,0.9225475192070007,0.2928471565246582,0.31843870878219604,0.564303738054424,0.6956710815429688
26,31000,0.17204272747039795,0.082283154129982,0.28685040374728776,0.9227047562599182,0.2820117771625519,0.3097374141216278,0.5565405772462847,0.7039867639541626
27,32000,0.15365472435951233,0.07369815558195114,0.27147404218810894,0.9307693243026733,0.2763386368751526,0.3114192485809326,0.5580495037010001,0.7023794651031494
28,33000,0.1556006520986557,0.07998839765787125,0.2828222014939267,0.924860417842865,0.2875695526599884,0.3121110498905182,0.558668998504945,0.7017183303833008
29,34000,0.15336960554122925,0.06704355776309967,0.25892770760020967,0.9370205402374268,0.2843298017978668,0.3104909360408783,0.5572171354515925,0.7032666802406311
30,35000,0.14261625707149506,0.06839499622583389,0.2615243702331274,0.9357510209083557,0.2594175338745117,0.2725904583930969,0.522101961682866,0.7394877672195435
31,36000,0.15010394155979156,0.07261520624160767,0.26947208805664397,0.9317866563796997,0.2807304561138153,0.3128002882003784,0.5592855158149355,0.7010596394538879
32,37000,0.15260595083236694,0.0769326314330101,0.2773673222155236,0.9277309775352478,0.2666464149951935,0.28229156136512756,0.5313111718805916,0.7302165031433105
33,38000,0.1591077297925949,0.07601958513259888,0.27571649412503213,0.9285886287689209,0.2675829529762268,0.29045090079307556,0.5389349689833418,0.7224187850952148
