cycle,train_size,fe_mae,fe_mse,fe_rmse,fe_r2,bg_mae,bg_mse,bg_rmse,bg_r2
0,5000,0.605125367641449,0.7672905921936035,0.8759512498955655,0.2792218327522278,0.6140591502189636,0.8879626989364624,0.9423177271687413,0.1513822078704834
1,6000,0.6691674590110779,0.7803328633308411,0.8833645132847714,0.266970157623291,0.6474869251251221,0.8625743389129639,0.9287488029133409,0.175645649433136
2,7000,0.613652765750885,0.7126563787460327,0.844189776499356,0.3305441737174988,0.6303340196609497,0.8598247170448303,0.9272673384978198,0.17827343940734863
3,8000,0.5858969688415527,0.6997435092926025,0.8365067299744829,0.34267425537109375,0.5971686840057373,0.841641902923584,0.9174104331887577,0.19565057754516602
4,9000,0.5833044648170471,0.6805955171585083,0.8249821314177104,0.3606615662574768,0.6058634519577026,0.8486142754554749,0.9212026245378782,0.188987135887146
5,10000,0.5996845960617065,0.6425679922103882,0.8016033883476218,0.3963838815689087,0.578152060508728,0.7902000546455383,0.8889319741383692,0.24481308460235596
6,11000,0.5709930658340454,0.6613886952400208,0.8132580741929469,0.37870413064956665,0.5899041891098022,0.8525722026824951,0.9233483647478319,0.18520456552505493
7,12000,0.7234905958175659,0.9726665019989014,0.9862385624172791,0.08629566431045532,0.7607581615447998,1.1400967836380005,1.067753147332285,-0.08958005905151367
8,13000,0.6652575731277466,0.7780404686927795,0.8820660228649438,0.2691236138343811,0.6508641242980957,0.9935484528541565,0.996769006768447,0.05047488212585449
9,14000,0.7384673953056335,0.8534848690032959,0.923842448149735,0.1982526183128357,0.6243762969970703,0.8645693063735962,0.929822190729817,0.1737390160560608
10,15000,0.5809283256530762,0.7296332716941833,0.8541857360634064,0.31459641456604004,0.5943204760551453,0.8246849179267883,0.9081216426926452,0.2118561863899231
11,16000,0.5768578052520752,0.6336368322372437,0.7960130854686018,0.40477365255355835,0.5945035815238953,0.8073439002037048,0.8985231773325075,0.2284289002418518
12,17000,0.6373305916786194,0.7865159511566162,0.8868573454375942,0.2611619234085083,0.6152985692024231,0.8593945503234863,0.9270353554873116,0.1786845326423645
13,18000,0.5807384848594666,0.6470277309417725,0.804380339728522,0.3921945095062256,0.5902779698371887,0.7631933689117432,0.8736093914969911,0.2706231474876404
14,19000,0.5880449414253235,0.6558630466461182,0.8098537192889331,0.38389480113983154,0.5927476286888123,0.7975547313690186,0.8930591981324746,0.2377842664718628
15,20000,0.5853316783905029,0.6731072068214417,0.8204311103447026,0.36769598722457886,0.6053562760353088,0.8694212436676025,0.9324276077356368,0.16910207271575928
16,21000,0.5614035129547119,0.6426358222961426,0.8016456962375227,0.3963201642036438,0.5831281542778015,0.7914401888847351,0.8896292423727623,0.2436279058456421
17,22000,0.5931925177574158,0.6287837028503418,0.7929588279667121,0.4093325734138489,0.5966727137565613,0.7656108736991882,0.874991927790873,0.2683126926422119
18,23000,0.55619215965271,0.6628422737121582,0.8141512597252173,0.37733858823776245,0.5747333765029907,0.7852662205696106,0.8861524815569894,0.24952828884124756
19,24000,0.5687913298606873,0.6528843641281128,0.8080126014661608,0.3866928815841675,0.5814102292060852,0.7708841562271118,0.8780000889675991,0.26327311992645264
20,25000,0.5932549238204956,0.6214345693588257,0.7883112135183831,0.4162362217903137,0.6378213167190552,0.8181977272033691,0.904542827733087,0.21805590391159058
21,26000,0.5767950415611267,0.6561707854270935,0.8100436935296105,0.3836057186126709,0.5989206433296204,0.8058350682258606,0.8976831669502668,0.22987079620361328
22,27000,0.5913857817649841,0.6984781622886658,0.8357500597000671,0.34386295080184937,0.5945686101913452,0.8705354928970337,0.9330249154749479,0.16803717613220215
23,28000,0.5511505603790283,0.632951021194458,0.7955821900938067,0.40541785955429077,0.5938442945480347,0.8566105961799622,0.9255326013598668,0.1813451051712036
24,29000,0.5817307233810425,0.6345155239105225,0.7965648271864145,0.40394824743270874,0.596143901348114,0.811088502407074,0.900604520534443,0.22485017776489258
25,30000,0.5687040686607361,0.711482048034668,0.8434939525774136,0.3316473364830017,0.5908246040344238,0.7821481227874756,0.884391385523104,0.2525082230567932
26,31000,0.5624138116836548,0.6550968289375305,0.8093805217186355,0.38461458683013916,0.6174487471580505,0.8466702699661255,0.9201468741272371,0.19084501266479492
27,32000,0.589710533618927,0.8798863887786865,0.938022595025667,0.1734514832496643,0.613134503364563,0.8698562979698181,0.9326608697537482,0.16868633031845093
28,33000,0.5674815773963928,0.6011534333229065,0.7753408497705422,0.4352879524230957,0.6008272171020508,0.7657133340835571,0.8750504751633229,0.2682148218154907
29,34000,0.5464730262756348,0.6703517436981201,0.8187501106553331,0.37028437852859497,0.5756139159202576,0.7525405883789062,0.867490973082087,0.2808038592338562
30,35000,0.5809445977210999,0.6809139847755432,0.825175123701353,0.36036235094070435,0.6310916543006897,0.7868025898933411,0.8870189343488339,0.24805998802185059
31,36000,0.5810589790344238,0.6404313445091248,0.8002695449091667,0.3983910083770752,0.5952062010765076,0.7818936705589294,0.8842475165692746,0.2527514100074768
32,37000,0.5680760741233826,0.6332515478134155,0.7957710398182479,0.4051355719566345,0.5962346196174622,0.7840713858604431,0.8854780549852397,0.2506701350212097
33,38000,0.5783512592315674,0.6393634080886841,0.7996020310683835,0.3993942141532898,0.5784381031990051,0.7509344220161438,0.8665647246548545,0.28233885765075684
