cycle,train_size,fe_mae,fe_mse,fe_rmse,fe_r2,bg_mae,bg_mse,bg_rmse,bg_r2
0,38000,3.1663687229156494,730.910888671875,27.03536366820086,-685.603759765625,2.4544737339019775,553.7101440429688,23.531046386486274,-528.1756591796875
1,38000,17.649452209472656,18617.072265625,136.44439257670138,-17487.521484375,60.19681930541992,620884.875,787.9624832439677,-593372.9375
2,38000,137.92800903320312,3481147.5,1865.783347551371,-3270122.5,37.68439865112305,307763.53125,554.7643925577777,-294125.78125
3,38000,61.4139518737793,880837.75,938.5295679945305,-827441.1875,181.0523223876953,23336210.0,4830.7566695084115,-22302200.0
4,38000,219.83840942382812,13706487.0,3702.227302584216,-12875611.0,73.77184295654297,1815363.0,1347.3540737311778,-1734924.625
5,38000,122.4043960571289,2523805.5,1588.6489543004773,-2370813.75,208.09701538085938,12426960.0,3525.1893566161802,-11876330.0
6,38000,188.35678100585938,10727246.0,3275.24747156608,-10076969.0,149.14776611328125,3498084.25,1870.3166175810982,-3343086.0
7,38000,91.9227066040039,2736508.25,1654.2394778265932,-2570622.5,64.76358795166016,913302.375,955.6685487134124,-872833.6875
8,38000,776.1460571289062,588840512.0,24266.036182285727,-553145536.0,169.7076416015625,22722902.0,4766.854518442953,-21716068.0
9,38000,70.4100570678711,2244963.0,1498.3200592663773,-2108874.5,41.50750732421875,1006282.6875,1003.1364251685809,-961694.125
10,38000,243.11874389648438,14256749.0,3775.811038704135,-13392517.0,115.96870422363281,3332399.5,1825.4860996457903,-3184742.75
11,38000,430.4383850097656,171572160.0,13098.555645566423,-161171616.0,78.19744110107422,1452179.625,1205.0641580430479,-1387833.625
12,38000,1475.1114501953125,2053715072.0,45317.93322736596,-1929220864.0,298.0401916503906,81183824.0,9010.206656897499,-77586632.0
13,38000,1757.1217041015625,597806784.0,24450.08760720501,-561568320.0,198.56204223632812,5128115.5,2264.5342788308594,-4900892.0
14,38000,135.66969299316406,8627877.0,2937.3248032861466,-8104862.0,287.7264099121094,70688552.0,8407.648422716069,-67556400.0
15,38000,301.239501953125,10480283.0,3237.3265204486247,-9844977.0,635.380126953125,140680432.0,11860.878213690587,-134446992.0
16,38000,819.015869140625,386374048.0,19656.399670336377,-362952416.0,242.58412170410156,7776936.0,2788.7158334975616,-7432345.0
17,38000,28.280750274658203,259978.703125,509.88106762754,-244218.03125,60.150726318359375,621600.375,788.4163715956182,-594056.75
18,38000,820.1300048828125,123341288.0,11105.91229931157,-115864456.0,232.11257934570312,16377831.0,4046.953298470344,-15652142.0
19,38000,631.9320068359375,114248328.0,10688.700950068722,-107322696.0,174.48626708984375,3119988.5,1766.3489179660965,-2981743.25
20,38000,2800270.25,7840389784403968.0,88545975.5404161,-7365112461524992.0,9864739.0,9.73049494021079e+16,311937412.6361054,-9.29934464820183e+16
21,38000,744.6854248046875,367994688.0,19183.187639180305,-345687200.0,3083.90380859375,4570242048.0,67603.5653497654,-4367738368.0
22,38000,1422.26904296875,698124800.0,26422.05139651348,-655805120.0,163.6436309814453,6269899.5,2503.9767371123876,-5992084.0
23,38000,1021.8675537109375,346736160.0,18620.852826871276,-325717344.0,121.57964324951172,1822642.75,1350.0528693351234,-1741881.875
24,38000,1531.382080078125,448423328.0,21176.008311294176,-421240320.0,108.84159088134766,3905564.5,1976.250110689434,-3732511.0
25,38000,104.78873443603516,1594210.75,1262.6205883003809,-1497570.125,133.62049865722656,2590481.25,1609.497204098224,-2475698.0
26,38000,4835.263671875,10521131008.0,102572.56459697204,-9883348992.0,4758.66796875,18396995584.0,135635.52478609723,-17581838336.0
27,38000,1222.91259765625,408751296.0,20217.598670465293,-383973184.0,460.5242004394531,78754096.0,8874.350455103742,-75264568.0
28,38000,119.96603393554688,8548646.0,2923.8067651607894,-8030434.5,324.9762268066406,68999480.0,8306.5925625373,-65942168.0
29,38000,163.58578491210938,3587693.0,1894.120640297233,-3370209.5,151.10980224609375,9777190.0,3126.849852487324,-9343969.0
30,38000,3060.54052734375,6595398144.0,81212.05664185583,-6195591168.0,2291.222412109375,3728474112.0,61061.23248019155,-3563268352.0
31,38000,1687.0855712890625,1803500544.0,42467.64114004921,-1694173952.0,5346.6748046875,27041798144.0,164443.90576728588,-25843597312.0
32,38000,189.10337829589844,18846296.0,4341.232083176388,-17703848.0,108.879638671875,2432644.0,1559.693559645612,-2324854.5
33,38000,1882.725830078125,695005696.0,26362.96068350442,-652875072.0,1251.261962890625,528348384.0,22985.830069849555,-504937696.0
