cycle,train_size,fe_mae,fe_mse,fe_rmse,fe_r2,bg_mae,bg_mse,bg_rmse,bg_r2
0,38000,0.1534113734960556,0.07680238038301468,0.2771324239114122,0.9278532862663269,0.26901954412460327,0.2969219386577606,0.5449054401065937,0.7162344455718994
1,38000,0.16235937178134918,0.08214005827903748,0.28660086929218737,0.9228391647338867,0.25877776741981506,0.2765493094921112,0.5258795579713202,0.7357043623924255
2,38000,0.15902648866176605,0.0833587720990181,0.2887191924673836,0.9216943383216858,0.2556407153606415,0.2863467335700989,0.535113757597484,0.7263410091400146
3,38000,0.15851664543151855,0.07944659143686295,0.28186271735875773,0.925369381904602,0.27070972323417664,0.27341070771217346,0.522886897629089,0.7387039065361023
4,38000,0.14909875392913818,0.07117671519517899,0.26678964596696586,0.9331379532814026,0.24547146260738373,0.2608433961868286,0.5107282997708553,0.7507143616676331
5,38000,0.169801726937294,0.08251721411943436,0.28725809669952623,0.9224848747253418,0.2544881999492645,0.2630198299884796,0.5128545895168334,0.7486343383789062
6,38000,0.16181331872940063,0.08301228284835815,0.2881185222236817,0.9220198392868042,0.2667618989944458,0.2959960103034973,0.5440551537330542,0.7171193361282349
7,38000,0.15386298298835754,0.07821137458086014,0.2796629660517462,0.9265297055244446,0.27323123812675476,0.3087046444416046,0.5556119549124232,0.7049738168716431
8,38000,0.15382476150989532,0.08058745414018631,0.2838792950184749,0.9242976903915405,0.24574673175811768,0.2544388175010681,0.5044192873999448,0.7568351626396179
9,38000,0.16486132144927979,0.08430316299200058,0.2903500697296293,0.9208072423934937,0.24573585391044617,0.2764710783958435,0.5258051715187323,0.7357791662216187
10,38000,0.15195366740226746,0.07556583732366562,0.2748924104511902,0.9290149211883545,0.25320422649383545,0.27122244238853455,0.5207902095743876,0.7407951951026917
11,38000,0.16288553178310394,0.0834117978811264,0.2888110072021605,0.9216445684432983,0.24355076253414154,0.2583378851413727,0.5082695005028067,0.7531088590621948
12,38000,0.16437259316444397,0.08180975914001465,0.2860240534291035,0.9231494665145874,0.24262933433055878,0.2646225690841675,0.5144147831120014,0.7471026182174683
13,38000,0.17116831243038177,0.08714655041694641,0.29520594576828296,0.9181361794471741,0.263080894947052,0.2844614088535309,0.5333492372297263,0.7281428575515747
14,38000,0.17168991267681122,0.08641377091407776,0.29396219300120513,0.9188245534896851,0.24950473010540009,0.2695545554161072,0.5191864360864094,0.7423892021179199
15,38000,0.14953531324863434,0.07378703355789185,0.2716376880292789,0.9306858777999878,0.2389133721590042,0.25636082887649536,0.5063208754105398,0.7549983263015747
16,38000,0.16310866177082062,0.08517327904701233,0.29184461455886473,0.919989824295044,0.24764300882816315,0.2747255265712738,0.5241426586066753,0.7374473810195923
17,38000,0.1725618839263916,0.08832652121782303,0.29719778131376257,0.9170277714729309,0.27109450101852417,0.29537102580070496,0.5434804741669244,0.717716634273529
18,38000,0.1582074910402298,0.08630964905023575,0.293785038846834,0.9189223647117615,0.2442651242017746,0.26134490966796875,0.511219042747792,0.7502350807189941
19,38000,0.15200532972812653,0.07388245314359665,0.27181326888803026,0.9305962324142456,0.2507273554801941,0.2751937806606293,0.5245891541584036,0.7369998693466187
20,38000,0.17848627269268036,0.08976257592439651,0.29960403188941986,0.9156787395477295,0.2388584017753601,0.2430586814880371,0.4930098188556057,0.7677110433578491
21,38000,0.17809343338012695,0.0978219136595726,0.3127649495381038,0.9081079363822937,0.2442462146282196,0.26361900568008423,0.5134384146906854,0.7480617165565491
22,38000,0.16368816792964935,0.08882293105125427,0.2980317618161767,0.9165614247322083,0.2543890178203583,0.2617345452308655,0.51159998556574,0.7498626708984375
23,38000,0.18500247597694397,0.09145351499319077,0.30241282213753895,0.9140903353691101,0.2445569485425949,0.27124691009521484,0.5208136999880234,0.7407717704772949
24,38000,0.15954214334487915,0.08378180861473083,0.2894508742683823,0.9212969541549683,0.24050356447696686,0.2676232159137726,0.5173231252455013,0.7442349195480347
25,38000,0.16099868714809418,0.08523743599653244,0.2919545101493252,0.919929563999176,0.24722523987293243,0.2540023922920227,0.5039865001089044,0.7572522759437561
26,38000,0.16124612092971802,0.09287580847740173,0.30475532559317436,0.912754237651825,0.2364286184310913,0.24593159556388855,0.49591490758384,0.7649654150009155
27,38000,0.17027167975902557,0.09386219084262848,0.3063693699484798,0.9118276238441467,0.2678433358669281,0.27976953983306885,0.5289324529966647,0.7326267957687378
28,38000,0.16421568393707275,0.09213868528604507,0.303543547594155,0.9134466648101807,0.23853278160095215,0.25982630252838135,0.5097315985186531,0.7516863942146301
29,38000,0.16412554681301117,0.09367959201335907,0.30607122049183105,0.9119991660118103,0.2553991675376892,0.2666490375995636,0.51638070994138,0.7451659440994263
30,38000,0.16602623462677002,0.08631866425275803,0.293800381641614,0.9189139008522034,0.25525403022766113,0.25102508068084717,0.5010240320392298,0.7600976228713989
31,38000,0.16841787099838257,0.09397784620523453,0.30655806335054137,0.911719024181366,0.24128510057926178,0.25112754106521606,0.5011262725753022,0.7599997520446777
32,38000,0.17119020223617554,0.08665791153907776,0.2943771586571855,0.9185951948165894,0.24982380867004395,0.2649551331996918,0.5147379267158112,0.7467848062515259
33,38000,0.1670423150062561,0.09851911664009094,0.3138775503920134,0.9074530005455017,0.2558109164237976,0.2653072476387024,0.5150798458867347,0.746448278427124
