cycle,train_size,fe_mae,fe_mse,fe_rmse,fe_r2,bg_mae,bg_mse,bg_rmse,bg_r2
0,38000,0.5492585301399231,0.6731055378913879,0.820430093238533,0.367697536945343,0.585412859916687,0.7849847674369812,0.8859936610591417,0.2497972846031189
1,38000,0.5428973436355591,0.5935819149017334,0.7704426746369475,0.4424004554748535,0.5820714235305786,0.7546085119247437,0.8686820545658485,0.2788275480270386
2,38000,0.5464556813240051,0.6220218539237976,0.7886836209303434,0.4156845211982727,0.6277449727058411,0.9423436522483826,0.9707438654188769,0.09941083192825317
3,38000,0.5445061326026917,0.5935510396957397,0.7704226370608147,0.44242948293685913,0.5811218619346619,0.7842805981636047,0.8855961823334633,0.25047028064727783
4,38000,0.5291439890861511,0.564342737197876,0.7512274869823894,0.4698672294616699,0.5736491680145264,0.7427767515182495,0.8618449695381702,0.29013508558273315
5,38000,0.5433295965194702,0.5375927686691284,0.7332071799083315,0.4949955940246582,0.590901255607605,0.7828413248062134,0.8847832078007659,0.2518457770347595
6,38000,0.5314935445785522,0.5879824161529541,0.7668001148623766,0.44766050577163696,0.5658366084098816,0.7448356747627258,0.8630386287778351,0.2881673574447632
7,38000,0.5184217691421509,0.5949214100837708,0.7713114870684675,0.441142201423645,0.5637678503990173,0.7924495935440063,0.8901963792018064,0.2426632046699524
8,38000,0.5115991234779358,0.5994568467140198,0.7742459859205082,0.4368816614151001,0.5524533987045288,0.823820173740387,0.9076454008809757,0.2126826047897339
9,38000,0.5169923305511475,0.5772209763526917,0.7597506014164724,0.45776963233947754,0.5680627226829529,0.7935601472854614,0.8908199297756317,0.2416018843650818
10,38000,0.5088409781455994,0.6147162914276123,0.7840384502226995,0.42254722118377686,0.5591034889221191,0.8090816140174866,0.8994896408616869,0.2267681360244751
11,38000,0.5401621460914612,0.6107005476951599,0.781473318607334,0.42631953954696655,0.5635712742805481,0.7960619926452637,0.8922230621572521,0.239210844039917
12,38000,0.5236178636550903,0.5651310682296753,0.7517519991524301,0.46912670135498047,0.5585524439811707,0.7439855933189392,0.8625459949005265,0.28897982835769653
13,38000,0.526919960975647,0.5532569289207458,0.7438124285871713,0.4802809953689575,0.5688440799713135,0.7708262205123901,0.8779670953471947,0.2633284330368042
14,38000,0.5270853042602539,0.6108494997024536,0.781568614839704,0.4261796474456787,0.5669532418251038,0.8759398460388184,0.9359165807051494,0.16287237405776978
15,38000,0.5235974788665771,0.5760607123374939,0.7589866351507738,0.45885956287384033,0.5569289326667786,0.818601131439209,0.9047657881679706,0.21767044067382812
16,38000,0.5375693440437317,0.6290335655212402,0.7931163631657339,0.4090978503227234,0.5646439790725708,0.7983335852622986,0.8934951512248394,0.2370399832725525
17,38000,0.5623481273651123,0.5904079079627991,0.7683800543759572,0.4453820586204529,0.5796858668327332,0.7500884532928467,0.8660764708112365,0.283147394657135
18,38000,0.5234349370002747,0.664976954460144,0.8154611912654973,0.37533336877822876,0.5624967217445374,0.7765759229660034,0.8812354526265971,0.2578335404396057
19,38000,0.5133860111236572,0.6113334894180298,0.7818781806765231,0.42572498321533203,0.547147810459137,0.91722571849823,0.9577190185530566,0.12341582775115967
20,38000,0.5211739540100098,0.6236997246742249,0.7897466205525826,0.41410839557647705,0.5641888380050659,0.8756427764892578,0.935757862103898,0.16315627098083496
21,38000,0.515263557434082,0.605793833732605,0.7783275876728288,0.4309288263320923,0.5771633386611938,0.9506949782371521,0.9750358856150639,0.09142953157424927
22,38000,0.5204742550849915,0.5764283537864685,0.7592287888288144,0.4585142135620117,0.5611933469772339,0.7545803189277649,0.8686658269598068,0.2788545489311218
23,38000,0.5407331585884094,0.5807563662528992,0.7620737275703048,0.4544485807418823,0.5524983406066895,0.8017210364341736,0.8953887627361501,0.23380261659622192
24,38000,0.514898419380188,0.5865647196769714,0.76587513321492,0.4489923119544983,0.5614316463470459,0.853691577911377,0.923954315922263,0.18413478136062622
25,38000,0.5193159580230713,0.583694338798523,0.7639989128254849,0.4516887068748474,0.5548033714294434,0.752830445766449,0.8676580235129788,0.28052687644958496
26,38000,0.5279752612113953,0.561813235282898,0.7495420170229938,0.47224336862564087,0.5783346891403198,0.7826694846153259,0.8846860938295152,0.2520099878311157
27,38000,0.520723283290863,0.6121326684951782,0.782389077438571,0.4249742031097412,0.5576331615447998,0.8258025050163269,0.908736763323861,0.21078813076019287
28,38000,0.5370529890060425,0.580963671207428,0.7622097291477117,0.45425379276275635,0.5509079694747925,0.8516647815704346,0.9228568586570913,0.18607181310653687
29,38000,0.5175284743309021,0.6821362376213074,0.8259153937427898,0.35921424627304077,0.5563263893127441,0.8597201704978943,0.9272109633184318,0.1783733367919922
30,38000,0.5298099517822266,0.6075499653816223,0.7794549155542111,0.4292791485786438,0.5869256854057312,0.8139548301696777,0.9021944525265481,0.22211086750030518
31,38000,0.5231545567512512,0.5680623054504395,0.7536990814976754,0.466373085975647,0.5573713779449463,0.7515615224838257,0.8669264804375431,0.2817395329475403
32,38000,0.5172377824783325,0.6329528093338013,0.7955833138859822,0.40541619062423706,0.5629512667655945,0.8937893509864807,0.9454043320116958,0.1458137035369873
33,38000,0.5212204456329346,0.5718847513198853,0.7562306204590536,0.4627823829650879,0.5590040683746338,0.812508761882782,0.9013926790709929,0.2234928011894226
