cycle,train_size,fe_mae,fe_mse,fe_rmse,fe_r2,bg_mae,bg_mse,bg_rmse,bg_r2
0,38000,0.838665783405304,1.0238384008407593,1.0118490010079366,0.03822571039199829,0.8405112028121948,1.1021488904953003,1.049832791684133,-0.053313612937927246
1,38000,15610369015808.0,3.6920426296724823e+27,60762180916031.0,-3.4682343343582205e+27,15447565008896.0,3.615388586626732e+27,60128101471996.7,-3.455193519315776e+27
2,38000,15637475753984.0,3.692463215437363e+27,60765641734761.29,-3.4686295374032556e+27,15474670698496.0,3.615810057835328e+27,60131606147144.68,-3.455596396206346e+27
3,38000,15657608413184.0,3.693049084029144e+27,60770462266047.836,-3.46917969309851e+27,15494803357696.0,3.6163950409833934e+27,60136470140700.76,-3.4561554063387554e+27
4,38000,15668122484736.0,3.693258343893916e+27,60772183965149.02,-3.4693765567512646e+27,15505317429248.0,3.616604891143976e+27,60138214898215.73,-3.4563561069142774e+27
5,38000,15676521578496.0,3.693582121145898e+27,60774847767360.945,-3.4696805590935993e+27,15513716523008.0,3.616927782952242e+27,60140899419215.89,-3.45666453647519e+27
6,38000,15679362170880.0,3.6937246775840994e+27,60776020580358.0,-3.4698145562425507e+27,15516558163968.0,3.617070634538349e+27,60142087048408.53,-3.456801189955288e+27
7,38000,15679350636544.0,3.6937246775840994e+27,60776020580358.0,-3.4698145562425507e+27,15516544532480.0,3.617070929686254e+27,60142089502163.58,-3.456801485103193e+27
8,38000,15679332810752.0,3.6937217261050476e+27,60775996298744.85,-3.469811604763499e+27,15516528803840.0,3.617067387911392e+27,60142060057096.414,-3.456797943328331e+27
9,38000,15679319179264.0,3.6937217261050476e+27,60775996298744.85,-3.469811604763499e+27,15516513075200.0,3.6170679782072024e+27,60142064964608.61,-3.456798533624141e+27
10,38000,15679310790656.0,3.693722611548763e+27,60776003583229.81,-3.4698124902072145e+27,15516505735168.0,3.6170685685030127e+27,60142069872120.41,-3.4567991239199516e+27
11,38000,15679310790656.0,3.6937229066966683e+27,60776006011391.27,-3.4698127853551196e+27,15516505735168.0,3.617069158798823e+27,60142074779631.8,-3.456799714215762e+27
12,38000,15679304499200.0,3.693720840661332e+27,60775989014259.01,-3.4698107193197834e+27,15516499443712.0,3.617067092763487e+27,60142057603340.164,-3.4567976481804257e+27
13,38000,15679296110592.0,3.693718774625996e+27,60775972017121.99,-3.4698089484323523e+27,15516491055104.0,3.6170647315802454e+27,60142037973286.586,-3.4567952869971843e+27
14,38000,15679289819136.0,3.693722316400858e+27,60776001155068.26,-3.4698121950593093e+27,15516484763648.0,3.6170682733551075e+27,60142067418364.555,-3.4567988287720464e+27
15,38000,15679286673408.0,3.693722611548763e+27,60776003583229.81,-3.4698124902072145e+27,15516481617920.0,3.6170679782072024e+27,60142064964608.61,-3.456798533624141e+27
16,38000,15679282479104.0,3.693720545513427e+27,60775986586096.875,-3.4698107193197834e+27,15516477423616.0,3.6170662073197713e+27,60142050242070.82,-3.45679676273671e+27
17,38000,15679274090496.0,3.693720545513427e+27,60775986586096.875,-3.4698107193197834e+27,15516470083584.0,3.6170662073197713e+27,60142050242070.82,-3.45679676273671e+27
18,38000,15679264653312.0,3.6937181843301855e+27,60775967160796.26,-3.469808358136542e+27,15516459597824.0,3.6170647315802454e+27,60142037973286.586,-3.4567952869971843e+27
19,38000,15679248924672.0,3.6937181843301855e+27,60775967160796.26,-3.469808358136542e+27,15516445966336.0,3.617064141284435e+27,60142033065772.19,-3.456794991849279e+27
20,38000,15679227953152.0,3.693715823146944e+27,60775947735489.44,-3.4698059969533005e+27,15516423946240.0,3.617062370397004e+27,60142018343226.59,-3.456793220961848e+27
21,38000,15679201738752.0,3.693711100780461e+27,60775908884857.17,-3.469801864882628e+27,15516398780416.0,3.617057648030521e+27,60141979083087.39,-3.4567887937432703e+27
22,38000,15679184961536.0,3.6937131668157974e+27,60775925882011.84,-3.469803635770059e+27,15516380954624.0,3.6170600092137625e+27,60141998713160.195,-3.456791154926512e+27
23,38000,15679180767232.0,3.693714052259513e+27,60775933166505.25,-3.4698045212137746e+27,15516376760320.0,3.6170603043616677e+27,60142001166918.84,-3.456791450074417e+27
24,38000,15679173427200.0,3.693712576519987e+27,60775921025682.42,-3.4698030454742487e+27,15516369420288.0,3.6170582383263314e+27,60141983990606.195,-3.4567893840390807e+27
25,38000,15679165038592.0,3.6937134619637026e+27,60775928310176.414,-3.469803930917964e+27,15516362080256.0,3.6170600092137625e+27,60141998713160.195,-3.456791154926512e+27
26,38000,15679149309952.0,3.6937102153367456e+27,60775901600360.86,-3.4698009794389125e+27,15516344254464.0,3.61705587714309e+27,60141964360528.58,-3.456787022855839e+27
27,38000,15679128338432.0,3.6937102153367456e+27,60775901600360.86,-3.4698009794389125e+27,15516323282944.0,3.617056172290995e+27,60141966814288.63,-3.4567873180037444e+27
28,38000,15679102124032.0,3.6937066735618835e+27,60775872462366.87,-3.4697974376640503e+27,15516297068544.0,3.617052925664038e+27,60141939822922.555,-3.4567840713767875e+27
29,38000,15679074861056.0,3.693707854153504e+27,60775882175033.086,-3.469798618255671e+27,15516269805568.0,3.617054106255659e+27,60141949637966.17,-3.456785251968408e+27
30,38000,15679040258048.0,3.6937063784139783e+27,60775870034200.07,-3.469797142516145e+27,15516237299712.0,3.6170532208119434e+27,60141942276683.61,-3.4567843665246926e+27
31,38000,15679003557888.0,3.6937049026744524e+27,60775857893364.63,-3.469795666776619e+27,15516198502400.0,3.617050564480797e+27,60141920192830.53,-3.456781710193546e+27
32,38000,15678962663424.0,3.693698114272633e+27,60775802045490.38,-3.4697894686706105e+27,15516158656512.0,3.617044071226883e+27,60141866210044.42,-3.4567758072354424e+27
33,38000,15678915477504.0,3.6936933919061504e+27,60775763194764.984,-3.469785041452033e+27,15516111470592.0,3.6170393488604e+27,60141826949805.91,-3.4567710848689596e+27
